type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11
SC,sc-tcb1-2,CEs 2,"Resolver problemas numéricos y lógicos de la vida cotidiana aplicando estrategias de cálculo, estimación y razonamiento, para ganar confianza en el uso de las matemáticas.",od-stem1,od-stem4,,,,,,,,,
SC,sc-tcb1-3,CEs 3,"Planificar y organizar el propio trabajo y el tiempo de estudio, aplicando técnicas básicas de organización y autorregulación, para ganar autonomía como aprendiz.",od-cpsaa1,od-cpsaa4,,,,,,,,,
SC,sc-tcb1-4,CEs 4,"Participar de forma activa y respetuosa en el trabajo en equipo, utilizando herramientas digitales básicas de forma responsable, para mejorar la convivencia y la colaboración en el aula.",od-cc1,od-cpsaa3,od-cd2,,,,,,,,
EC,ec-tcb1-1.1,1.1,"Leer en voz alta y en silencio textos breves y sencillos, con fluidez y entonación adecuadas.",,,,,,,,,,,
EC,ec-tcb1-1.2,1.2,"Extraer la idea principal y los datos básicos de un texto sencillo, oral o escrito.",,,,,,,,,,,
EC,ec-tcb1-1.3,1.3,"Producir textos escritos breves (frases, párrafos cortos) con corrección ortográfica y coherencia básica.",,,,,,,,,,,
EC,ec-tcb1-1.4,1.4,"Expresarse oralmente con claridad para explicar una idea o pedir ayuda de forma adecuada.",,,,,,,,,,,
EC,ec-tcb1-1.5,1.5,"Ampliar el vocabulario básico e incorporarlo progresivamente a la expresión oral y escrita.",,,,,,,,,,,
EC,ec-tcb1-2.1,2.1,"Realizar operaciones aritméticas básicas (suma, resta, multiplicación, división) con seguridad.",,,,,,,,,,,
EC,ec-tcb1-2.2,2.2,"Resolver problemas sencillos de la vida cotidiana identificando los datos y la operación necesaria.",,,,,,,,,,,
EC,ec-tcb1-2.3,2.3,"Estimar y comprobar si un resultado numérico es razonable en una situación dada.",,,,,,,,,,,
EC,ec-tcb1-2.4,2.4,"Interpretar información sencilla presentada en tablas o gráficos.",,,,,,,,,,,
EC,ec-tcb1-2.5,2.5,"Aplicar el razonamiento lógico para ordenar, clasificar o completar series y secuencias.",,,,,,,,,,,
EC,ec-tcb1-3.1,3.1,"Organizar el material y el espacio de trabajo antes de comenzar una tarea.",,,,,,,,,,,
EC,ec-tcb1-3.2,3.2,"Planificar los pasos necesarios para completar una tarea o trabajo, distribuyendo el tiempo disponible.",,,,,,,,,,,
EC,ec-tcb1-3.3,3.3,"Revisar el propio trabajo antes de entregarlo, identificando y corrigiendo errores sencillos.",,,,,,,,,,,
EC,ec-tcb1-3.4,3.4,"Reconocer las propias dificultades de aprendizaje y pedir ayuda o buscar estrategias para superarlas.",,,,,,,,,,,
EC,ec-tcb1-4.1,4.1,"Participar en tareas de grupo respetando el turno de palabra y las aportaciones de los demás.",,,,,,,,,,,
EC,ec-tcb1-4.2,4.2,"Aceptar y cumplir la parte de trabajo que le corresponde dentro de un equipo.",,,,,,,,,,,
EC,ec-tcb1-4.3,4.3,"Usar de forma responsable dispositivos y herramientas digitales básicas (procesador de texto, buscador) para tareas escolares sencillas.",,,,,,,,,,,
EC,ec-tcb1-4.4,4.4,"Resolver de forma pacífica y dialogada los conflictos que puedan surgir en el trabajo en equipo.",,,,,,,,,,,
SB,sb-tcb1-a1,A.1,"Comprensión lectora: estrategias básicas (idea principal, orden de los hechos, vocabulario en contexto).",,,,,,,,,,,
SB,sb-tcb1-a2,A.2,"Expresión escrita: la frase y el párrafo; ortografía básica (reglas de acentuación y puntuación elementales).",,,,,,,,,,,
SB,sb-tcb1-a3,A.3,"Expresión oral: normas básicas de la comunicación oral (turno de palabra, volumen, claridad).",,,,,,,,,,,
SB,sb-tcb1-a4,A.4,"Vocabulario básico de uso cotidiano y escolar.",,,,,,,,,,,
SB,sb-tcb1-b1,B.1,"Las cuatro operaciones básicas con números naturales y decimales sencillos.",,,,,,,,,,,
SB,sb-tcb1-b2,B.2,"Resolución de problemas: identificación de datos, pregunta y operación necesaria.",,,,,,,,,,,
SB,sb-tcb1-b3,B.3,"Lectura e interpretación de tablas y gráficos sencillos.",,,,,,,,,,,
SB,sb-tcb1-b4,B.4,"Series, patrones y clasificación de elementos.",,,,,,,,,,,
SB,sb-tcb1-c1,C.1,"Técnicas básicas de organización personal: agenda, horario de estudio, material necesario.",,,,,,,,,,,
SB,sb-tcb1-c2,C.2,"Planificación de tareas: pasos, tiempos y revisión del propio trabajo.",,,,,,,,,,,
SB,sb-tcb1-c3,C.3,"Estrategias básicas para pedir ayuda y afrontar el error como parte del aprendizaje.",,,,,,,,,,,
SB,sb-tcb1-d1,D.1,"Normas básicas de convivencia y trabajo en equipo.",,,,,,,,,,,
SB,sb-tcb1-d2,D.2,"Resolución dialogada de conflictos sencillos.",,,,,,,,,,,
SB,sb-tcb1-d3,D.3,"Uso responsable y seguro de herramientas digitales básicas (procesador de texto, buscador, plataforma del centro).",,,,,,,,,,,
