type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11
OD,od-cd1,CD1,"Realiza búsquedas en Internet atendiendo a criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y archivándolos, para recuperarlos, referenciarlos y reutilizarlos, respetando la propiedad intelectual.",kc-cd,,,,,,,,,,
OD,od-cd2,CD2,"Gestiona y utiliza su entorno personal digital de aprendizaje para construir conocimiento y crear contenidos digitales, mediante estrategias de tratamiento de la información y el uso de diferentes herramientas digitales, seleccionando y configurando la más adecuada en función de la tarea y de sus necesidades de aprendizaje permanente.",kc-cd,,,,,,,,,,
SC,sc-tcb2-1,CEs 1,"Comprender y producir textos orales y escritos de mayor extensión y variedad que en el curso anterior, propios de la vida cotidiana y escolar, para ganar autonomía como lector y como escritor.",od-ccl1,od-ccl2,od-ccl3,,,,,,,,
SC,sc-tcb2-2,CEs 2,"Resolver problemas numéricos y lógicos de creciente complejidad, encadenando más de una operación y justificando el procedimiento seguido, para consolidar la confianza en el uso de las matemáticas.",od-stem1,od-stem4,,,,,,,,,
SC,sc-tcb2-3,CEs 3,"Planificar, llevar a cabo y revisar de forma cada vez más autónoma el propio proceso de estudio, aplicando técnicas de organización y autorregulación del aprendizaje.",od-cpsaa1,od-cpsaa4,,,,,,,,,
SC,sc-tcb2-4,CEs 4,"Participar de forma activa, responsable y crítica en el trabajo cooperativo, utilizando herramientas digitales básicas con criterio propio para buscar información y elaborar tareas escolares sencillas.",od-cc1,od-cpsaa3,od-cd1,od-cd2,,,,,,,
EC,ec-tcb2-1.1,1.1,"Leer con fluidez y entonación adecuadas textos de mayor extensión que en el curso anterior, de distintos tipos (narrativos, descriptivos, informativos).",,,,,,,,,,,
EC,ec-tcb2-1.2,1.2,"Extraer la idea principal y las ideas secundarias de un texto oral o escrito, distinguiendo hechos de opiniones.",,,,,,,,,,,
EC,ec-tcb2-1.3,1.3,"Producir textos escritos de varios párrafos, con coherencia, cohesión básica y corrección ortográfica.",,,,,,,,,,,
EC,ec-tcb2-1.4,1.4,"Exponer oralmente un tema sencillo preparado previamente, con claridad y apoyándose en un guion o esquema.",,,,,,,,,,,
EC,ec-tcb2-1.5,1.5,"Buscar y seleccionar información básica en distintas fuentes (impresas o digitales) para responder a una pregunta o completar una tarea.",,,,,,,,,,,
EC,ec-tcb2-2.1,2.1,"Realizar cálculos con números naturales, decimales y fracciones sencillas, encadenando más de una operación.",,,,,,,,,,,
EC,ec-tcb2-2.2,2.2,"Resolver problemas de la vida cotidiana que requieran más de un paso, explicando el razonamiento seguido.",,,,,,,,,,,
EC,ec-tcb2-2.3,2.3,"Estimar el resultado de una operación o problema antes de resolverlo y comprobar si el resultado obtenido es razonable.",,,,,,,,,,,
EC,ec-tcb2-2.4,2.4,"Interpretar y elaborar tablas y gráficos sencillos a partir de datos dados.",,,,,,,,,,,
EC,ec-tcb2-2.5,2.5,"Aplicar el razonamiento lógico para resolver problemas de patrones, series y clasificaciones de mayor dificultad que en el curso anterior.",,,,,,,,,,,
EC,ec-tcb2-3.1,3.1,"Planificar de forma autónoma los pasos y el tiempo necesarios para completar una tarea o trabajo de varios días.",,,,,,,,,,,
EC,ec-tcb2-3.2,3.2,"Utilizar una agenda u otra herramienta de organización para registrar tareas, exámenes y fechas de entrega.",,,,,,,,,,,
EC,ec-tcb2-3.3,3.3,"Revisar el propio trabajo antes de entregarlo, identificando errores y proponiendo cómo corregirlos.",,,,,,,,,,,
EC,ec-tcb2-3.4,3.4,"Valorar el propio progreso en el aprendizaje, identificando qué estrategias le funcionan mejor para estudiar.",,,,,,,,,,,
EC,ec-tcb2-4.1,4.1,"Participar en tareas de grupo aportando ideas propias y respetando las de los demás.",,,,,,,,,,,
EC,ec-tcb2-4.2,4.2,"Asumir y cumplir con responsabilidad la parte de trabajo que le corresponde dentro de un equipo, coordinándose con sus compañeros.",,,,,,,,,,,
EC,ec-tcb2-4.3,4.3,"Usar de forma responsable y con cierta autonomía herramientas digitales básicas (procesador de texto, presentaciones, buscador) para elaborar tareas escolares.",,,,,,,,,,,
EC,ec-tcb2-4.4,4.4,"Proponer y aplicar soluciones dialogadas ante los conflictos que puedan surgir en el trabajo en equipo.",,,,,,,,,,,
SB,sb-tcb2-a1,A.1,"Comprensión lectora: idea principal e ideas secundarias, diferencia entre hechos y opiniones, textos narrativos, descriptivos e informativos.",,,,,,,,,,,
SB,sb-tcb2-a2,A.2,"Expresión escrita: el párrafo y su estructura, enlaces básicos entre ideas, ortografía (acentuación, puntuación, uso de mayúsculas).",,,,,,,,,,,
SB,sb-tcb2-a3,A.3,"Expresión oral: preparación y exposición de un tema sencillo con guion o esquema de apoyo.",,,,,,,,,,,
SB,sb-tcb2-a4,A.4,"Búsqueda básica de información en fuentes impresas y digitales; distinción entre fuentes fiables y no fiables.",,,,,,,,,,,
SB,sb-tcb2-b1,B.1,"Operaciones combinadas con números naturales, decimales y fracciones sencillas.",,,,,,,,,,,
SB,sb-tcb2-b2,B.2,"Resolución de problemas de varios pasos: identificación de datos, planificación de la estrategia y comprobación del resultado.",,,,,,,,,,,
SB,sb-tcb2-b3,B.3,"Elaboración e interpretación de tablas y gráficos sencillos.",,,,,,,,,,,
SB,sb-tcb2-b4,B.4,"Patrones, series numéricas y clasificaciones de mayor dificultad.",,,,,,,,,,,
SB,sb-tcb2-c1,C.1,"Planificación de tareas y trabajos de varios días: agenda, calendario, reparto del tiempo.",,,,,,,,,,,
SB,sb-tcb2-c2,C.2,"Revisión y autocorrección del propio trabajo antes de entregarlo.",,,,,,,,,,,
SB,sb-tcb2-c3,C.3,"Estrategias de estudio y autoevaluación del propio progreso de aprendizaje.",,,,,,,,,,,
SB,sb-tcb2-d1,D.1,"Normas de trabajo cooperativo: reparto de responsabilidades y coordinación con el equipo.",,,,,,,,,,,
SB,sb-tcb2-d2,D.2,"Resolución dialogada de conflictos en el trabajo en grupo.",,,,,,,,,,,
SB,sb-tcb2-d3,D.3,"Uso responsable de herramientas digitales básicas (procesador de texto, presentaciones, buscador) para tareas escolares.",,,,,,,,,,,
