type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
OD,od-ccec3.1,CCEC3.1,"Expresa ideas, opiniones, sentimientos y emociones con creatividad y espíritu crítico, realizando con rigor sus propias producciones culturales y artísticas, para participar de forma activa en la promoción de los derechos humanos y los procesos de socialización y de construcción de la identidad personal que se derivan de la práctica artística.",kc-ccec,,,,,,,,,
OD,od-cd2,CD2,"Crea, integra y reelabora contenidos digitales de forma individual o colectiva, aplicando medidas de seguridad y respetando, en todo momento, los derechos de autoría digital para ampliar sus recursos y generar nuevo conocimiento.",kc-cd,,,,,,,,,
OD,od-ce1,CE1,"Evalúa necesidades y oportunidades y afronta retos, con sentido crítico y ético, evaluando su sostenibilidad y comprobando, a partir de conocimientos técnicos específicos, el impacto que puedan suponer en el entorno, para presentar y ejecutar ideas y soluciones innovadoras dirigidas a distintos contextos, tanto locales como globales, en el ámbito personal, social y académico con proyección profesional emprendedora.",kc-ce,,,,,,,,,
OD,od-cpsaa3.1,CPSAA3.1,"Muestra sensibilidad hacia las emociones y experiencias de otras personas, siendo consciente de la influencia que ejerce el grupo en las personas, para consolidar una personalidad empática e independiente y desarrollar su inteligencia.",kc-cpsaa,,,,,,,,,
OD,od-cpsaa6,CPSAA6,[Pendiente: no definido en el Anexo I del Decreto 60/2022],kc-cpsaa,,,,,,,,,
OD,od-cc2,CC2,"Reconoce, analiza y aplica en diversos contextos, de forma crítica y consecuente, los principios, ideales y valores relativos al proceso de integración europea, la Constitución Española, los derechos humanos, y la historia y el patrimonio cultural propios, a la vez que participa en todo tipo de actividades grupales con una actitud fundamentada en los principios y procedimientos democráticos, el compromiso ético con la igualdad, la cohesión social, el desarrollo sostenible y el logro de la ciudadanía mundial.",kc-cc,,,,,,,,,
OD,od-cc3,CC3,"Adopta un juicio propio y argumentado ante problemas éticos y filosóficos fundamentales y de actualidad, afrontando con actitud dialogante la pluralidad de valores, creencias e ideas, rechazando todo tipo de discriminación y violencia, y promoviendo activamente la igualdad y corresponsabilidad efectiva entre mujeres y hombres.",kc-cc,,,,,,,,,
OD,od-ce2,CE2,"Evalúa y reflexiona sobre las fortalezas y debilidades propias y las de otras personas, haciendo uso de estrategias de autoconocimiento y autoeficacia, interioriza los conocimientos económicos y financieros específicos y los transfiere a contextos locales y globales, aplicando estrategias y destrezas que agilicen el trabajo colaborativo y en equipo, para reunir y optimizar los recursos necesarios, que lleven a la acción una experiencia o iniciativa emprendedora de valor.",kc-ce,,,,,,,,,
OD,od-ccec4.1,CCEC4.1,"Selecciona e integra con creatividad diversos medios y soportes, así como técnicas plásticas, visuales, audiovisuales, sonoras o corporales, para diseñar y producir proyectos artísticos y culturales sostenibles, analizando las oportunidades de desarrollo personal, social y laboral que ofrecen sirviéndose de la interpretación, la ejecución, la improvisación o la composición.",kc-ccec,,,,,,,,,
OD,od-ccec4.2,CCEC4.2,"Planifica, adapta y organiza sus conocimientos, destrezas y actitudes para responder con creatividad y eficacia a los desempeños derivados de una producción cultural o artística, individual o colectiva, utilizando diversos lenguajes, códigos, técnicas, herramientas y recursos plásticos, visuales, audiovisuales, musicales, corporales o escénicos, valorando tanto el proceso como el producto final y comprendiendo las oportunidades personales, sociales, inclusivas y económicas que ofrecen.",kc-ccec,,,,,,,,,
OD,od-cpsaa4,CPSAA4,"Compara, analiza, evalúa y sintetiza datos, información e ideas de los medios de comunicación, para obtener conclusiones lógicas de forma autónoma, valorando la fiabilidad de las fuentes.",kc-cpsaa,,,,,,,,,
OD,od-ccec1,CCEC1,"Reflexiona, promueve y valora críticamente el patrimonio cultural y artístico de cualquier época, contrastando sus singularidades y partiendo de su propia identidad, para defender la libertad de expresión, la igualdad y el enriquecimiento inherente a la diversidad.",kc-ccec,,,,,,,,,
OD,od-ccec2,CCEC2,"Investiga las especificidades e intencionalidades de diversas manifestaciones artísticas y culturales del patrimonio, mediante una postura de recepción activa y deleite, diferenciando y analizando los distintos contextos, medios y soportes en que se materializan, así como los lenguajes y elementos técnicos y estéticos que las caracterizan.",kc-ccec,,,,,,,,,
SC,sc-aresc1-1,CEs 1,"Analizar manifestaciones escénicas de diferentes épocas y tradiciones, describiendo sus características, estableciendo relaciones con su contexto e identificando posibles influencias y proyecciones, para valorar el patrimonio y enriquecer el imaginario propio.",od-ccl2,od-ccl3,od-cp3,od-cd1,,,,,,
SC,sc-aresc1-2,CEs 2,"Explorar las posibilidades expresivas de diferentes sistemas, medios y códigos de significación escénica, a través de actividades de carácter práctico, para incorporar su uso al repertorio personal de recursos y desarrollar el criterio de selección de los más adecuados a la intención comunicativa.",od-ccl1,od-cd1,od-cpsaa1.1,od-cpsaa2,od-cc1,od-ce3,od-ccec3.1,,,
SC,sc-aresc1-3,CEs 3,"Abordar la recreación y representación de la acción dramática, a partir de la construcción colectiva de escenas que muestren todo tipo de personajes y conflictos, para desarrollar habilidades de comunicación y negociación y reforzar el autoconocimiento, la creatividad, la empatía, la imaginación y el espíritu emprendedor en diversas situaciones y contextos.",od-ccl1,od-cd2,od-cpsaa1.1,od-cpsaa2,od-cc1,od-ce1,,,,
SC,sc-aresc1-4,CEs 4,"Realizar proyectos de creación y difusión escénica, planificando sus fases, seleccionando y estructurando los elementos de significación y asumiendo diferentes funciones con iniciativa y responsabilidad, para expresar una intención comunicativa, enriquecer el entorno cultural e identificar oportunidades de desarrollo personal, social, académico o profesional.",od-ccl3,od-cd2,od-cpsaa3.1,od-cpsaa6,od-cc2,od-cc3,od-ce2,od-ce3,od-ccec4.1,od-ccec4.2
SC,sc-aresc1-5,CEs 5,"Valorar críticamente manifestaciones escénicas, identificando el público al que se dirigen y analizando sus características y sus presupuestos artísticos, para desarrollar el criterio estético, difundir el patrimonio y ampliar las posibilidades de disfrute de las artes escénicas.",od-ccl1,od-ccl3,od-cd1,od-cd2,od-cpsaa4,od-cc1,od-ccec1,od-ccec2,,
EC,ec-aresc1-1.1,1.1,"Identificar, con un vocabulario adecuado, las principales características de manifestaciones escénicas de diferentes épocas y tradiciones, estableciendo relaciones con su contexto y evidenciando una actitud de apertura, interés y respeto en la recepción activa de las mismas y prestando especial atención al contexto escénico asturiano.",,,,,,,,,,
EC,ec-aresc1-1.2,1.2,"Establecer conexiones entre manifestaciones escénicas de diferentes épocas y tradiciones, valorando su influencia sobre las artes escénicas actuales.",,,,,,,,,,
EC,ec-aresc1-2.1,2.1,"Participar, con iniciativa, confianza y creatividad, en la exploración de sistemas, medios y códigos de significación escénica, a través de actividades de carácter práctico.",,,,,,,,,,
EC,ec-aresc1-2.2,2.2,"Recrear la acción dramática, el diseño de personajes y la configuración de situaciones y escenas, seleccionando las técnicas más adecuadas de entre las que conforman el repertorio personal de recursos.",,,,,,,,,,
EC,ec-aresc1-3.1,3.1,"Emplear técnicas elementales de interpretación, aplicando estrategias de memorización y valorando los ensayos como espacios de escucha, diálogo y aprendizaje.",,,,,,,,,,
EC,ec-aresc1-3.2,3.2,"Recrear y representar la acción dramática demostrando eficacia, siguiendo las indicaciones de la dirección, manteniendo la concentración y gestionando de forma guiada la ansiedad y el miedo escénico.",,,,,,,,,,
EC,ec-aresc1-4.1,4.1,"Participar activamente en la realización de proyectos colectivos de creación y difusión escénica, asumiendo diferentes funciones con iniciativa y responsabilidad, y valorando y respetando las aportaciones y experiencias del resto de integrantes del grupo.",,,,,,,,,,
EC,ec-aresc1-4.2,4.2,"Evaluar y representar los resultados de la participación en proyectos de creación y difusión escénica, analizando la relación entre los objetivos planteados y el producto final obtenido, y explicando de forma argumentada las posibles diferencias entre ellos.",,,,,,,,,,
EC,ec-aresc1-5.1,5.1,"Identificar el tipo de público al que se dirige un espectáculo determinado, basando los argumentos en el análisis de la obra y en las reacciones del público.",,,,,,,,,,
EC,ec-aresc1-5.2,5.2,"Comentar manifestaciones escénicas, empleando la terminología adecuada, reelaborando información a partir de fuentes fiables, y reflexionando críticamente sobre sus características y presupuestos artísticos.",,,,,,,,,,
SB,sb-aresc1-a1,A.1,"Artes escénicas: concepto, tipologías y tradiciones.",,,,,,,,,,
SB,sb-aresc1-a2,A.2,Las artes escénicas y su historia: cambios y transformaciones. La evolución histórica teatral en Asturias.,,,,,,,,,,
SB,sb-aresc1-a3,A.3,"Dramaticidad, teatralidad y performatividad.",,,,,,,,,,
SB,sb-aresc1-a4,A.4,El patrimonio inmaterial.,,,,,,,,,,
SB,sb-aresc1-b1,B.1,"Códigos de significación escénica: naturaleza, descripción y clasificación.",,,,,,,,,,
SB,sb-aresc1-b2,B.2,El espacio escénico como generador de significado. La convención teatral.,,,,,,,,,,
SB,sb-aresc1-b3,B.3,"Recursos plásticos: escenografía volumétrica y virtual, caracterización, iluminación y espacio sonoro.",,,,,,,,,,
SB,sb-aresc1-b4,B.4,Recursos literarios y otros materiales. El texto dramático.,,,,,,,,,,
SB,sb-aresc1-b5,B.5,"El conflicto dramático: personaje, situación y acción dramática.",,,,,,,,,,
SB,sb-aresc1-b6,B.6,"El personaje dramático: análisis, caracterización y construcción de roles y personajes por encima de tópicos y clichés.",,,,,,,,,,
SB,sb-aresc1-b7,B.7,"Juego dramático, improvisación, dramatización y creación colectiva.",,,,,,,,,,
SB,sb-aresc1-c1,C.1,Preparación física y preparación pre-expresiva. El cuidado del cuerpo.,,,,,,,,,,
SB,sb-aresc1-c2,C.2,Métodos y técnicas de interpretación.,,,,,,,,,,
SB,sb-aresc1-c3,C.3,"Los instrumentos del intérprete: expresión corporal, gestual, oral y rítmico-musical. La conciencia emocional.",,,,,,,,,,
SB,sb-aresc1-c4,C.4,"El personaje dramático: grados de representación, objetivos y funciones.",,,,,,,,,,
SB,sb-aresc1-c5,C.5,La partitura interpretativa y su ejecución.,,,,,,,,,,
SB,sb-aresc1-d1,D.1,El espectáculo escénico: concepto y características.,,,,,,,,,,
SB,sb-aresc1-d2,D.2,"Tipologías básicas del espectáculo: clásico, de vanguardia, corporal, occidental, oriental, de objetos, musical, dancístico, de interior, de calle.",,,,,,,,,,
SB,sb-aresc1-d3,D.3,"Otras formas de presentación escénica: happening, performance, vídeo-teatro o teatro-danza.",,,,,,,,,,
SB,sb-aresc1-d4,D.4,"El diseño de un espectáculo: equipos, fases y áreas de trabajo.",,,,,,,,,,
SB,sb-aresc1-d5,D.5,"Los ensayos: tipología, finalidades y organización.",,,,,,,,,,
SB,sb-aresc1-d6,D.6,Representación de espectáculos escénicos.,,,,,,,,,,
SB,sb-aresc1-d7,D.7,Estrategias de trabajo en equipo. Resolución de conflictos.,,,,,,,,,,
SB,sb-aresc1-e1,E.1,El público: concepto y tipologías.,,,,,,,,,,
SB,sb-aresc1-e2,E.2,"La recepción teatral: catarsis, extrañamiento y participación.",,,,,,,,,,
SB,sb-aresc1-e3,E.3,"Estrategias y técnicas de análisis de manifestaciones escénicas, prestando especial atención al uso del lenguaje inclusivo y la perspectiva de género.",,,,,,,,,,
SB,sb-aresc1-e4,E.4,El respeto de la propiedad intelectual. La protección de la creatividad personal.,,,,,,,,,,
BB,bb-aresc1-a,A,Patrimonio escénico,,,,,,,,,,
BB,bb-aresc1-b,B,Expresión y comunicación escénica.,,,,,,,,,,
BB,bb-aresc1-c,C,Interpretación,,,,,,,,,,
BB,bb-aresc1-d,D,Escenificación y representación escénica,,,,,,,,,,
BB,bb-aresc1-e,E,Recepción en las artes escénicas,,,,,,,,,,
