type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11
OD,od-cc3,CC3,"Adopta un juicio propio y argumentado ante problemas éticos y filosóficos fundamentales y de actualidad, afrontando con actitud dialogante la pluralidad de valores, creencias e ideas, rechazando todo tipo de discriminación y violencia, y promoviendo activamente la igualdad y corresponsabilidad efectiva entre mujeres y hombres.",kc-cc,,,,,,,,,,
OD,od-ccec4.1,CCEC4.1,"Selecciona e integra con creatividad diversos medios y soportes, así como técnicas plásticas, visuales, audiovisuales, sonoras o corporales, para diseñar y producir proyectos artísticos y culturales sostenibles, analizando las oportunidades de desarrollo personal, social y laboral que ofrecen sirviéndose de la interpretación, la ejecución, la improvisación o la composición.",kc-ccec,,,,,,,,,,
OD,od-ccl3,CCL3,"Localiza, selecciona y contrasta de manera autónoma información procedente de diferentes fuentes evaluando su fiabilidad y pertinencia en función de los objetivos de lectura y evitando los riesgos de manipulación y desinformación, y la integra y transforma en conocimiento para comunicarla de manera clara y rigurosa adoptando un punto de vista creativo y crítico a la par que respetuoso con la propiedad intelectual.",kc-ccl,,,,,,,,,,
OD,od-cp2,CP2,"A partir de sus experiencias, desarrolla estrategias que le permitan ampliar y enriquecer de forma sistemática su repertorio lingüístico individual con el fin de comunicarse de manera eficaz.",kc-cp,,,,,,,,,,
OD,od-cpsaa1.1,CPSAA1.1,"Fortalece el optimismo, la resiliencia, la autoeficacia y la búsqueda de objetivos de forma autónoma para hacer eficaz su aprendizaje.",kc-cpsaa,,,,,,,,,,
OD,od-ce3,CE3,"Lleva a cabo el proceso de creación de ideas y soluciones innovadoras y toma decisiones, con sentido crítico y ético, aplicando conocimientos técnicos específicos y estrategias ágiles de planificación y gestión de proyectos, y reflexiona sobre el proceso realizado y el resultado obtenido, para elaborar un prototipo final de valor para el resto de las personas, considerando tanto la experiencia de éxito como de fracaso, una oportunidad para aprender.",kc-ce,,,,,,,,,,
OD,od-stem5,STEM5,"Planea y emprende acciones fundamentadas científicamente para promover la salud física y mental, y preservar el medio ambiente y los seres vivos, practicando el consumo responsable, aplicando principios de ética y seguridad para crear valor y transformar su entorno de forma sostenible adquiriendo compromisos como ciudadano en el ámbito local y global.",kc-stem,,,,,,,,,,
OD,od-cd4,CD4,"Evalúa riesgos y aplica medidas al usar las tecnologías digitales para proteger los dispositivos, los datos personales, la salud y el medioambiente y hace un uso crítico, legal, seguro, saludable y sostenible de dichas tecnologías.",kc-cd,,,,,,,,,,
OD,od-cpsaa2,CPSAA2,"Adopta de forma autónoma un estilo de vida sostenible y atiende al bienestar físico y mental propio y de otras personas, buscando y ofreciendo apoyo en la sociedad para construir un mundo más saludable.",kc-cpsaa,,,,,,,,,,
OD,od-cc4,CC4,"Analiza las relaciones de interdependencia y ecodependencia entre nuestras formas de vida y el entorno, realizando un análisis crítico de la huella ecológica de las acciones humanas, y demostrando un compromiso ético y ecosocialmente responsable con actividades y hábitos que conduzcan al logro de los Objetivos de Desarrollo Sostenible y la lucha contra el cambio climático.",kc-cc,,,,,,,,,,
OD,od-ce1,CE1,"Evalúa necesidades y oportunidades y afronta retos, con sentido crítico y ético, evaluando su sostenibilidad y comprobando, a partir de conocimientos técnicos específicos, el impacto que puedan suponer en el entorno, para presentar y ejecutar ideas y soluciones innovadoras dirigidas a distintos contextos, tanto locales como globales, en el ámbito personal, social y académico con proyección profesional emprendedora.",kc-ce,,,,,,,,,,
OD,od-ccec1,CCEC1,"Reflexiona, promueve y valora críticamente el patrimonio cultural y artístico de cualquier época, contrastando sus singularidades y partiendo de su propia identidad, para defender la libertad de expresión, la igualdad y el enriquecimiento inherente a la diversidad.",kc-ccec,,,,,,,,,,
SC,sc-gca2-1,CEs 1,"Interpretar y transmitir con precisión información y datos extraídos de trabajos científicos para analizar conceptos, procesos, métodos, experimentos o resultados relacionados con las ciencias geológicas y ambientales.",od-ccl1,od-ccl2,od-cp1,od-stem1,od-stem2,od-stem4,od-cd1,od-cd2,od-cpsaa4,od-cc3,od-ccec4.1
SC,sc-gca2-2,CEs 2,"Localizar y utilizar fuentes fiables, identificando, seleccionando y organizando información, evaluándola críticamente y contrastando su veracidad, para resolver preguntas planteadas de forma autónoma y crear contenidos relacionados con las ciencias geológicas y ambientales.",od-ccl2,od-ccl3,od-cp2,od-stem2,od-stem4,od-cd1,od-cd2,od-cpsaa4,od-cc3,,
SC,sc-gca2-3,CEs 3,Analizar críticamente resultados de trabajos de investigación o divulgación relacionados con las ciencias geológicas y ambientales comprobando si siguen correctamente los pasos de los métodos científicos para evaluar la fiabilidad de sus conclusiones.,od-ccl1,od-ccl2,od-ccl3,od-cp2,od-stem1,od-stem2,od-stem4,od-cd1,od-cpsaa4,od-cc3,
SC,sc-gca2-4,CEs 4,"Plantear y resolver problemas, buscando y utilizando las estrategias adecuadas, analizando críticamente las soluciones y reformulando el procedimiento si fuera necesario, para explicar fenómenos relacionados con las ciencias geológicas y ambientales.",od-ccl1,od-ccl3,od-stem1,od-stem2,od-cd1,od-cpsaa1.1,od-ce3,,,,
SC,sc-gca2-5,CEs 5,Analizar los impactos de determinadas acciones sobre el medio ambiente o la disponibilidad de recursos a través de observaciones de campo y de información en diferentes formatos y basándose en fundamentos científicos para promover y adoptar estilos de vida compatibles con el desarrollo sostenible.,od-ccl2,od-ccl3,od-stem2,od-stem5,od-cd1,od-cd4,od-cpsaa2,od-cc4,od-ce1,od-ccec1,
SC,sc-gca2-6,CEs 6,"Identificar y analizar los elementos geológicos del relieve a partir de observaciones de campo o de información en diferentes formatos para explicar fenómenos, reconstruir la historia geológica, hacer predicciones e identificar posibles riesgos geológicos de una zona determinada.",od-ccl1,od-ccl3,od-cp2,od-stem1,od-stem2,od-stem5,od-cd4,od-cpsaa4,od-ce3,od-ccec1,
EC,ec-gca2-1.1,1.1,"Analizar críticamente conceptos y procesos, relacionados con los saberes de la materia, seleccionando e interpretando información en diversos formatos como mapas (topográficos, hidrográficos, geológicos, de vegetación, etc.), cortes, modelos, diagramas de flujo u otros.",,,,,,,,,,,
EC,ec-gca2-1.2,1.2,"Comunicar informaciones u opiniones razonadas relacionadas con los saberes de la materia, transmitiéndolas de forma clara y rigurosa y utilizando el vocabulario científico y los formatos adecuados como mapas (topográficos, hidrográficos, geológicos, de vegetación, etc.), cortes, modelos, diagramas de flujo, u otros y respondiendo con precisión a las cuestiones que puedan surgir durante la exposición.",,,,,,,,,,,
EC,ec-gca2-1.3,1.3,Realizar discusiones científicas sobre aspectos relacionados con los saberes de la materia considerando los puntos fuertes y débiles de diferentes posturas de forma razonada y con actitud receptiva y respetuosa ante la opinión de las demás personas.,,,,,,,,,,,
EC,ec-gca2-2.1,2.1,"Plantear y resolver cuestiones y crear contenidos relacionados con los saberes de la materia, localizando y citando fuentes de forma adecuada; seleccionando, organizando y analizando críticamente la información.",,,,,,,,,,,
EC,ec-gca2-2.2,2.2,"Contrastar y justificar la veracidad de información relacionada con los saberes de la materia, utilizando fuentes fiables, aportando datos y adoptando una actitud crítica y escéptica hacia informaciones sin una base científica como pseudociencias, teorías conspiratorias, creencias infundadas, bulos, etc.",,,,,,,,,,,
EC,ec-gca2-3.1,3.1,Evaluar la fiabilidad de las conclusiones de un trabajo de investigación o divulgación científica relacionado con los saberes de la materia de Geología y Ciencias Ambientales de acuerdo a la interpretación de los resultados obtenidos.,,,,,,,,,,,
EC,ec-gca2-3.2,3.2,"Argumentar, utilizando ejemplos concretos, sobre la contribución de la ciencia a la sociedad y la labor de las personas dedicadas a ella destacando el papel de la mujer y entendiendo la investigación como una labor colectiva e interdisciplinar en constante evolución influida por el contexto político y social y por los recursos económicos.",,,,,,,,,,,
EC,ec-gca2-4.1,4.1,Explicar fenómenos relacionados con los saberes de la materia de Geología y Ciencias Ambientales a través del planteamiento y resolución de problemas buscando y utilizando las estrategias y recursos adecuados.,,,,,,,,,,,
EC,ec-gca2-4.2,4.2,Analizar críticamente la solución a un problema relacionado con los saberes de la materia de Geología y Ciencias Ambientales y reformular los procedimientos utilizados o conclusiones si dicha solución no fuese viable o ante nuevos datos aportados o encontrados con posterioridad.,,,,,,,,,,,
EC,ec-gca2-5.1,5.1,Promover y adoptar hábitos sostenibles a partir del análisis de los diferentes tipos de recursos geológicos y de la biosfera y sus posibles usos.,,,,,,,,,,,
EC,ec-gca2-5.2,5.2,"Relacionar el impacto de la explotación de recursos con el deterioro medioambiental, argumentando sobre la importancia de su consumo y aprovechamiento responsables.",,,,,,,,,,,
EC,ec-gca2-6.1,6.1,"Deducir y explicar la historia geológica de un área determinada identificando y analizando sus elementos geológicos a partir de información en diferentes formatos (fotografías, cortes, mapas geológicos, etc.).",,,,,,,,,,,
EC,ec-gca2-6.2,6.2,"Realizar predicciones sobre fenómenos geológicos y riesgos naturales en un área determinada, analizando la influencia de diferentes factores sobre ellos (actividades humanas, climatología, relieve, vegetación, localización, procesos geológicos internos, etc.) y proponer acciones para prevenir o minimizar sus posibles efectos negativos.",,,,,,,,,,,
SB,sb-gca2-a1,A.1,"Fuentes veraces de información geológica y ambiental (mapas, cortes, fotografías aéreas, textos, posicionamiento e imágenes de satélite, diagramas de flujo, etc.): búsqueda, reconocimiento, utilización e interpretación.",,,,,,,,,,,
SB,sb-gca2-a2,A.2,Instrumentos básicos para el trabajo geológico y ambiental: utilización en el campo y el laboratorio. Nuevas tecnologías en la investigación geológica y ambiental.,,,,,,,,,,,
SB,sb-gca2-a3,A.3,"Estrategias para la búsqueda de información, colaboración, comunicación e interacción con instituciones científicas: herramientas digitales, formatos de presentación de procesos, resultados e ideas (diapositivas, gráficos, vídeos, posters, informes y otros).",,,,,,,,,,,
SB,sb-gca2-a4,A.4,"Herramientas de representación de la información geológica y ambiental: columna estratigráfica, corte, mapa, diagrama de flujo, etc.",,,,,,,,,,,
SB,sb-gca2-a5,A.5,"El patrimonio geológico y medioambiental: valoración de su importancia científica, económica y social y de la conservación de la geodiversidad, especialmente en el Principado de Asturias.",,,,,,,,,,,
SB,sb-gca2-a6,A.6,La labor científica y las personas dedicadas a la ciencia: contribución al desarrollo de la geología y las ciencias ambientales e importancia social. El papel de mujeres científicas.,,,,,,,,,,,
SB,sb-gca2-a7,A.7,"La evolución histórica del saber científico: el avance de la geología y las ciencias ambientales como labor colectiva, interdisciplinar y en continua construcción.",,,,,,,,,,,
SB,sb-gca2-b1,B.1,"Geodinámica interna del planeta: influencia sobre el relieve (vulcanismo, seísmos, orogenia, movimientos continentales, etc.). La teoría de la tectónica de placas.",,,,,,,,,,,
SB,sb-gca2-b2,B.2,El ciclo de Wilson: influencia en la disposición de los continentes y en los principales episodios orogénicos.,,,,,,,,,,,
SB,sb-gca2-b3,B.3,Manifestaciones actuales de la geodinámica interna.,,,,,,,,,,,
SB,sb-gca2-b4,B.4,"Las deformaciones de las rocas: elásticas, plásticas y frágiles. Relación con las fuerzas que actúan sobre ellas y con otros factores.",,,,,,,,,,,
SB,sb-gca2-b5,B.5,Procesos geológicos internos y riesgos naturales asociados: relación con las actividades humanas. Importancia de la ordenación territorial.,,,,,,,,,,,
SB,sb-gca2-c1,C.1,"Los procesos geológicos externos (meteorización, edafogénesis, erosión, transporte y sedimentación) y sus efectos sobre el relieve.",,,,,,,,,,,
SB,sb-gca2-c2,C.2,"Las formas de modelado del relieve: relación con los agentes geológicos, el clima y las propiedades y disposición relativa de las rocas predominantes.",,,,,,,,,,,
SB,sb-gca2-c3,C.3,Procesos geológicos externos y riesgos naturales asociados: relación con las actividades humanas. Importancia de la ordenación territorial.,,,,,,,,,,,
SB,sb-gca2-d1,D.1,Concepto de mineral.,,,,,,,,,,,
SB,sb-gca2-d2,D.2,Clasificación químico-estructural de los minerales: relación con sus propiedades.,,,,,,,,,,,
SB,sb-gca2-d3,D.3,"Identificación de los minerales por sus propiedades físicas: herramientas de identificación (guías, claves, instrumentos, recursos tecnológicos, etc.).",,,,,,,,,,,
SB,sb-gca2-d4,D.4,Diagramas de fases: condiciones físico-químicas de formación y transformación de minerales.,,,,,,,,,,,
SB,sb-gca2-e1,E.1,Concepto de roca.,,,,,,,,,,,
SB,sb-gca2-e2,E.2,"Clasificación de las rocas en función de su origen (ígneas, sedimentarias y metamórficas). Relación de su origen con sus características observables.",,,,,,,,,,,
SB,sb-gca2-e3,E.3,"Identificación de las rocas por sus características: herramientas de identificación (guías, claves, instrumentos, recursos tecnológicos, etc.).",,,,,,,,,,,
SB,sb-gca2-e4,E.4,"Los magmas: clasificación, composición, evolución, rocas resultantes, tipos de erupciones volcánicas asociadas y relieves originados.",,,,,,,,,,,
SB,sb-gca2-e5,E.5,"La diagénesis: concepto, tipos de rocas sedimentarias resultantes según el material de origen y el ambiente sedimentario.",,,,,,,,,,,
SB,sb-gca2-e6,E.6,"Las rocas metamórficas: tipos, factores que influyen en su formación y relación entre ellos.",,,,,,,,,,,
SB,sb-gca2-e7,E.7,"El ciclo litológico: formación, destrucción y transformación de los diferentes tipos de rocas, relación con la tectónica de placas y los procesos geológicos externos.",,,,,,,,,,,
SB,sb-gca2-f1,F.1,"La atmósfera y la hidrosfera: estructura, dinámica, funciones, influencia sobre el clima terrestre e importancia para los seres vivos.",,,,,,,,,,,
SB,sb-gca2-f2,F.2,"Contaminación de la atmósfera y la hidrosfera: definición, tipos, causas y consecuencias.",,,,,,,,,,,
SB,sb-gca2-g1,G.1,Los recursos geológicos y de la biosfera: aplicaciones en la vida cotidiana.,,,,,,,,,,,
SB,sb-gca2-g2,G.2,"Conceptos de recurso, yacimiento y reserva",,,,,,,,,,,
SB,sb-gca2-g3,G.3,"Impacto ambiental de la explotación de diferentes recursos (hídricos, paisajísticos, mineros, energéticos, edáficos, etc.). Importancia de su extracción, uso y consumo responsables de acuerdo a su tasa de renovación e interés económico y a la capacidad de absorción y gestión sostenible de sus residuos.",,,,,,,,,,,
SB,sb-gca2-g4,G.4,"Los recursos hídricos: abundancia relativa, explotación, usos e importancia del tratamiento eficaz de las aguas para su gestión sostenible.",,,,,,,,,,,
SB,sb-gca2-g5,G.5,"El suelo: características, composición, horizontes, textura, estructura, adsorción, relevancia ecológica y productividad.",,,,,,,,,,,
SB,sb-gca2-g6,G.6,"La contaminación, la salinización y la degradación del suelo y las aguas: relación con algunas actividades humanas (deforestación, agricultura y ganadería intensiva y actividades industriales).",,,,,,,,,,,
SB,sb-gca2-g7,G.7,"La explotación de rocas, minerales y recursos energéticos de la geosfera: tipos y evaluación de su impacto ambiental.",,,,,,,,,,,
SB,sb-gca2-g8,G.8,"Prevención y gestión de los residuos: importancia y objetivos (disminución, valorización, transformación y eliminación). El medio ambiente como sumidero natural de residuos y sus limitaciones.",,,,,,,,,,,
SB,sb-gca2-g9,G.9,"Los impactos ambientales y sociales de la explotación de recursos (hídricos, paisajísticos, mineros, energéticos, edáficos, etc.): medidas preventivas, correctoras y compensatorias.",,,,,,,,,,,
