type,id,code,description,link1,link2,link3,link4
OD,od-ccec1,CCEC1,"Conoce, aprecia críticamente y respeta el patrimonio cultural y artístico, implicándose en su conservación y valorando el enriquecimiento inherente a la diversidad cultural y artística.",kc-ccec,,,
OD,od-ccec2,CCEC2,"Disfruta, reconoce y analiza con autonomía las especificidades e intencionalidades de las manifestaciones artísticas y culturales más destacadas del patrimonio, distinguiendo los medios y soportes, así como los lenguajes y elementos técnicos que las caracterizan.",kc-ccec,,,
OD,od-cc4,CC4,"Comprende las relaciones sistémicas de interdependencia, ecodependencia e interconexión entre actuaciones locales y globales, y adopta, de forma consciente y motivada, un estilo de vida sostenible y ecosocialmente responsable.",kc-cc,,,
SC,sc-ef1-1,CEs 1,"Adoptar un estilo de vida activo y saludable, seleccionando e incorporando intencionalmente actividades físicas y deportivas en las rutinas diarias a partir de un análisis crítico de los modelos corporales y del rechazo de las prácticas que carezcan de base científica, para hacer un uso saludable y autónomo del tiempo libre y así mejorar la calidad de vida.",od-ccl3,od-stem2,od-stem5,od-cd4
SC,sc-ef1-2,CEs 2,"Adaptar, con progresiva autonomía en su ejecución, las capacidades físicas, perceptivo-motrices y coordinativas, así como las habilidades y destrezas motrices, aplicando procesos de percepción, decisión y ejecución adecuados a la lógica interna y a los objetivos de diferentes situaciones con dificultad variable, para resolver",od-cpsaa4,od-cpsaa5,,
SC,sc-ef1-3,CEs 3,"Compartir espacios de práctica físico-deportiva con independencia de las diferencias culturales, sociales, de género y de habilidad, priorizando el respeto hacia los participantes y a las reglas sobre los resultados, adoptando una actitud crítica ante comportamientos antideportivos o contrarios a la convivencia y desarrollando procesos de autorregulación emocional que canalicen el fracaso y el éxito en estas situaciones, para contribuir con progresiva autonomía al entendimiento social y al compromiso ético en los diferentes espacios en los que se participa.",od-ccl5,od-cpsaa1,od-cpsaa3,
SC,sc-ef1-4,CEs 4,"Analizar y valorar distintas manifestaciones de la cultura motriz aprovechando las posibilidades y recursos expresivos que ofrecen el cuerpo y el movimiento y profundizando en las consecuencias del deporte como fenómeno social, analizando críticamente sus manifestaciones desde la perspectiva de género y desde los intereses económico-políticos que lo rodean, para alcanzar una visión más realista, contextualizada y justa de la motricidad en el marco de las sociedades actuales.",od-cc2,od-cc3,od-ccec1,od-ccec2
SC,sc-ef1-5,CEs 5,"Adoptar un estilo de vida sostenible y eco socialmente responsable aplicando medidas de seguridad individuales y colectivas en la práctica físicodeportiva según el entorno y desarrollando colaborativa y cooperativamente acciones de servicio a la comunidad vinculadas a la actividad física y al deporte, para contribuir activamente a la conservación del medio natural y urbano.",od-stem5,od-cc4,,
EC,ec-ef1-1.1,1.1,"Establecer y organizar secuencias sencillas de actividad física orientada al concepto integral de salud y al estilo de vida activo, a partir de una valoración del nivel inicial y respetando la propia realidad e identidad corporal.",,,,
EC,ec-ef1-1.2,1.2,"Comenzar a incorporar con progresiva autonomía procesos de activación corporal, dosificación del esfuerzo, alimentación saludable, educación postural, relajación e higiene durante la práctica de actividades motrices, interiorizando las rutinas propias de una práctica motriz saludable y responsable.",,,,
EC,ec-ef1-1.3,1.3,"Adoptar de manera responsable y con progresiva autonomía medidas generales para la prevención de lesiones antes, durante y después de la práctica de actividad física, aprendiendo a reconocer situaciones de riesgo para actuar preventivamente.",,,,
EC,ec-ef1-1.4,1.4,"Actuar de acuerdo a los protocolos de intervención ante accidentes derivados de la práctica de actividad física, aplicando medidas básicas de primeros auxilios.",,,,
EC,ec-ef1-1.5,1.5,"Analizar la incidencia que ciertas prácticas y comportamientos tienen en nuestra salud y en la convivencia, valorando su impacto y evitando activamente su reproducción.",,,,
EC,ec-ef1-1.6,1.6,"Explorar diferentes recursos y aplicaciones digitales reconociendo su potencial, así como los riesgos para su uso en el ámbito de la actividad física y el deporte.",,,,
EC,ec-ef1-2.1,2.1,"Desarrollar proyectos motores de carácter individual, cooperativo o colaborativo, estableciendo mecanismos para reconducir los procesos de trabajo, incluyendo estrategias de autoevaluación y coevaluación tanto del proceso como del resultado.",,,,
EC,ec-ef1-2.2,2.2,"Interpretar y actuar correctamente en contextos motrices variados, aplicando principios básicos de toma de decisiones en situaciones lúdicas, juegos modificados y actividades deportivas a partir de la anticipación, adecuándose a las demandas motrices, a la actuación del compañero o de la compañera y de la persona oponente (si lo hubiera) y a la lógica interna en contextos reales o simulados de actuación, reflexionando sobre las soluciones y los resultados obtenidos.",,,,
EC,ec-ef1-2.3,2.3,"Evidenciar control y dominio corporal al emplear los componentes cualitativos y cuantitativos de la motricidad de manera eficiente y creativa, haciendo frente a las demandas de resolución de problemas en situaciones motrices transferibles a su espacio vivencial con progresiva autonomía.",,,,
EC,ec-ef1-3.1,3.1,"Practicar una gran variedad de actividades motrices, valorando las implicaciones éticas de las actitudes antideportivas, evitando la competitividad desmedida y actuando con deportividad al asumir los roles de espectador, participante u otros.",,,,
EC,ec-ef1-3.2,3.2,"Cooperar o colaborar en la práctica de diferentes producciones motrices para alcanzar el logro individual y grupal, participando en la toma de decisiones y asumiendo distintos roles asignados y responsabilidades.",,,,
EC,ec-ef1-3.3,3.3,"Hacer uso con progresiva autonomía de habilidades sociales, diálogo en la resolución de conflictos y respeto ante la diversidad, ya sea de género, afectivo-sexual, de origen nacional, étnico, socio-económica o de competencia motriz, mostrando una actitud crítica y un compromiso activo frente a los estereotipos, las actuaciones discriminatorias y de cualquier tipo de violencia, haciendo respetar el propio cuerpo y el ajeno.",,,,
EC,ec-ef1-4.1,4.1,"Gestionar la participación en juegos motores y otras manifestaciones artísticoexpresivas vinculadas tanto con la cultura propia como con otras, favoreciendo su conservación y valorando sus orígenes, evolución e influencia en las sociedades contemporáneas.",,,,
EC,ec-ef1-4.2,4.2,"Analizar objetivamente las diferentes actividades y modalidades deportivas según sus características y requerimientos, evitando los posibles estereotipos de género o capacidad o los comportamientos sexistas vinculados a dichas manifestaciones.",,,,
EC,ec-ef1-4.3,4.3,"Participar activamente en la creación y representación de composiciones de expresión corporal individuales o colectivas con y sin base musical, utilizando intencionadamente y con progresiva autonomía el cuerpo como herramienta de expresión y comunicación a través de diversas técnicas expresivas.",,,,
EC,ec-ef1-5.1,5.1,"Participar en actividades físico-deportivas en entornos naturales, terrestres o acuáticos, disfrutando del entorno de manera sostenible, minimizando el impacto ambiental que estas puedan producir y siendo conscientes de su huella ecológica.",,,,
EC,ec-ef1-5.2,5.2,"Practicar actividades físico-deportivas en el medio natural y urbano, aplicando normas de seguridad individuales y colectivas.",,,,
SB,sb-ef1-a1,A.1,Salud física: tasa mínima de actividad física diaria y semanal. Adecuación del volumen y la intensidad de la tarea a las características personales. Alimentación saludable y valor nutricional de los alimentos. Educación postural: técnicas básicas de descarga postural y relajación. Musculatura del core (zona media o lumbo-pélvica) y su relación con el mantenimiento de la postura. Cuidado del cuerpo: calentamiento general autónomo. Pautas para tratar el dolor muscular de origen retardado.,,,,
SB,sb-ef1-a2,A.2,"Salud social: efectos sobre la salud de malos hábitos vinculados a comportamientos sociales. Análisis crítico de los estereotipos corporales, de género y competencia motriz, así como de los comportamientos violentos e incitación al odio en el deporte.",,,,
SB,sb-ef1-a3,A.3,"Salud mental: aceptación de limitaciones y posibilidades de mejora ante las situaciones motrices. La actividad física como fuente de disfrute, liberación de tensiones, cohesión social y superación personal. Reflexión sobre actitudes negativas hacia la actividad física derivadas de ideas preconcebidas, prejuicios, estereotipos o experiencias negativas. Trastornos alimenticios asociados a la práctica de la actividad física y deporte.",,,,
SB,sb-ef1-b1,B.1,"Elección de la práctica física: gestión de las situaciones de competición en base a criterios de lógica, respeto al rival y motivación.",,,,
SB,sb-ef1-b2,B.2,Preparación de la práctica motriz: autoconstrucción de materiales como complemento y alternativa en la práctica de actividad física y deporte.,,,,
SB,sb-ef1-b3,B.3,La higiene como elemento imprescindible en la práctica de actividad física y deportiva.,,,,
SB,sb-ef1-b4,B.4,Planificación y autorregulación de proyectos motores: establecimiento de mecanismos de autoevaluación para reconducir los procesos de trabajo. Herramientas digitales para la gestión de la actividad física.,,,,
SB,sb-ef1-b5,B.5,Prevención de accidentes en las prácticas motrices: calzado deportivo y ergonomía. Medidas de seguridad en actividades físicas dentro y fuera del centro escolar.,,,,
SB,sb-ef1-b6,B.6,"Actuaciones básicas ante accidentes durante la práctica de actividades físicas. Conducta PAS (proteger, avisar, socorrer). Protocolo 112. Soporte vital básico (SVB).",,,,
SB,sb-ef1-c1,C.1,"Toma de decisiones: utilización consciente del cuerpo en función de las características de la actividad, contexto y parámetros espaciales en las que se desarrolla en situaciones motrices individuales. Pautas grupales para optimizar los recursos motrices del grupo de cara a la resolución de la acción/tarea en situaciones cooperativas. Análisis de movimientos y patrones motores del adversario para actuar en consecuencia en situaciones motrices de persecución y de interacción con un móvil. Adecuación de los movimientos propios a las acciones del contrario en situaciones de oposición. Delimitación de estrategias previas de ataque y defensa en función de las características de los integrantes del equipo en situaciones motrices de colaboración-oposición de persecución y de interacción con un móvil.",,,,
SB,sb-ef1-c2,C.2,"Capacidades perceptivo-motrices en contexto de práctica: integración del esquema corporal; integración de los diferentes aspectos coordinativos, espaciales y temporales en determinadas secuencias motrices o deportivas.",,,,
SB,sb-ef1-c3,C.3,Capacidades condicionales: desarrollo de las capacidades físicas básicas.,,,,
SB,sb-ef1-c4,C.4,Habilidades motrices específicas asociadas a la técnica en actividades físico-deportivas.,,,,
SB,sb-ef1-c5,C.5,"Creatividad motriz: resolución de retos y situaciones-problema de forma original, tanto individualmente como en grupo.",,,,
SB,sb-ef1-c6,C.6,"Actitud crítica ante los elementos del entorno que supongan obstáculos a la accesibilidad universal y la movilidad activa, autónoma, saludable y segura.",,,,
SB,sb-ef1-d1,D.1,"Gestión emocional: el estrés en situaciones motrices. Sensaciones, indicios y manifestaciones. Estrategias de autorregulación colectiva del esfuerzo y la capacidad de superación para afrontar desafíos en situaciones motrices. Perseverancia y tolerancia a la frustración en contextos físico-deportivos.",,,,
SB,sb-ef1-d2,D.2,Habilidades sociales: conductas prosociales en situaciones motrices colectivas.,,,,
SB,sb-ef1-d3,D.3,Respeto a las reglas: las reglas de juego como elemento de integración social. Funciones de arbitraje deportivo.,,,,
SB,sb-ef1-d4,D.4,"Identificación y rechazo de conductas contrarias a la convivencia en situaciones motrices (comportamientos violentos, discriminación por cuestiones de género, competencia motriz, actitudes xenófobas, racistas, LGTBIfóbicas o sexistas). Asertividad y autocuidado.",,,,
SB,sb-ef1-e1,E.1,Aportaciones de la cultura motriz a la herencia cultural. Los juegos y las danzas como manifestación de la interculturalidad. Juegos y danzas propios del Principiado de Asturias.,,,,
SB,sb-ef1-e2,E.2,Usos comunicativos de la corporalidad: Expresión de sentimientos y emociones en diferentes contextos. Técnicas de interpretación.,,,,
SB,sb-ef1-e3,E.3,Práctica de actividades rítmico-musicales con carácter expresivo.,,,,
SB,sb-ef1-e4,E.4,"Deporte y perspectiva de género: medios de comunicación y promoción del deporte en igualdad. Presencia y relevancia de figuras del deporte. Análisis crítico. Igualdad de género en las profesiones asociadas al deporte (comentaristas, periodistas, deportistas, técnicos y técnicas, etc.).",,,,
SB,sb-ef1-e5,E.5,"Influencia del deporte en la cultura actual: el deporte como fenómeno de masas. Impacto social, aspectos positivos y negativos.",,,,
SB,sb-ef1-f1,F.1,"Normas de uso: respeto a las normas viales en desplazamientos activos cotidianos para una movilidad segura, saludable y sostenible.",,,,
SB,sb-ef1-f2,F.2,La práctica de la bicicleta como medio de transporte habitual.,,,,
SB,sb-ef1-f3,F.3,"Nuevos espacios y prácticas deportivas. Conquista y utilización de espacios urbanos desde la motricidad (parkour, skate u otras manifestaciones similares).",,,,
SB,sb-ef1-f4,F.4,Análisis del riesgo en las prácticas físico-deportivas en el medio natural: medidas de seguridad en actividades con posibles consecuencias graves en el medio natural.,,,,
SB,sb-ef1-f5,F.5,Consumo responsable: autoconstrucción de materiales para la práctica motriz.,,,,
SB,sb-ef1-f6,F.6,Diseño de actividades físicas en el medio natural y urbano.,,,,
SB,sb-ef1-f7,F.7,"Cuidado del entorno próximo, como servicio a la comunidad, durante la práctica de actividad física en el medio natural asturiano.",,,,
BB,bb-ef1-a,A,Vida activa y saludable,,,,
BB,bb-ef1-b,B,Organización y gestión de la actividad física,,,,
BB,bb-ef1-c,C,Resolución de problemas en situaciones motrices,,,,
BB,bb-ef1-d,D,Autorregulación emocional e interacción social en situaciones motrices,,,,
BB,bb-ef1-e,E,Manifestaciones de la cultura motriz,,,,
BB,bb-ef1-f,F,Interacción eficiente y sostenible con el entorno,,,,
