type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11
OD,od-ce3,CE3,"Desarrolla el proceso de creación de ideas y soluciones valiosas y toma decisiones, de manera razonada, utilizando estrategias ágiles de planificación y gestión, y reflexiona sobre el proceso realizado y el resultado obtenido, para llevar a término el proceso de creación de prototipos innovadores y de valor, considerando la experiencia como una oportunidad para aprender.",kc-ce,,,,,,,,,,
OD,od-ccec4,CCEC4,"Conoce, selecciona y utiliza con creatividad diversos medios y soportes, así como técnicas plásticas, visuales, audiovisuales, sonoras o corporales, para la creación de productos artísticos y culturales, tanto de forma individual como colaborativa, identificando oportunidades de desarrollo personal, social y laboral, así como de emprendimiento.",kc-ccec,,,,,,,,,,
OD,od-ccl3,CCL3,"Localiza, selecciona y contrasta de manera progresivamente autónoma información procedente de diferentes fuentes, evaluando su fiabilidad y pertinencia en función de los objetivos de lectura y evitando los riesgos de manipulación y desinformación, y la integra y transforma en conocimiento para comunicarla adoptando un punto de vista creativo, crítico y personal a la par que respetuoso con la propiedad intelectual.",kc-ccl,,,,,,,,,,
OD,od-stem1,STEM1,"Utiliza métodos inductivos y deductivos propios del razonamiento matemático en situaciones conocidas, y selecciona y emplea diferentes estrategias para resolver problemas analizando críticamente las soluciones y reformulando el procedimiento, si fuera necesario.",kc-stem,,,,,,,,,,
OD,od-cd1,CD1,"Realiza búsquedas en Internet atendiendo a criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y archivándolos, para recuperarlos, referenciarlos y reutilizarlos, respetando la propiedad intelectual.",kc-cd,,,,,,,,,,
OD,od-cd4,CD4,"Identifica riesgos y adopta medidas preventivas al usar las tecnologías digitales para proteger los dispositivos, los datos personales, la salud y el medioambiente, y para tomar conciencia de la importancia y necesidad de hacer un uso crítico, legal, seguro, saludable y sostenible de dichas tecnologías.",kc-cd,,,,,,,,,,
OD,od-cd5,CD5,"Desarrolla aplicaciones informáticas sencillas y soluciones tecnológicas creativas y sostenibles para resolver problemas concretos o responder a retos propuestos, mostrando interés y curiosidad por la evolución de las tecnologías digitales y por su desarrollo sostenible y uso ético.",kc-cd,,,,,,,,,,
OD,od-cpsaa4,CPSAA4,"Realiza autoevaluaciones sobre su proceso de aprendizaje, buscando fuentes fiables para validar, sustentar y contrastar la información y para obtener conclusiones relevantes.",kc-cpsaa,,,,,,,,,,
OD,od-cpsaa3,CPSAA3,"Comprende proactivamente las perspectivas y las experiencias de las demás personas y las incorpora a su aprendizaje, para participar en el trabajo en grupo, distribuyendo y aceptando tareas y responsabilidades de manera equitativa y empleando estrategias cooperativas.",kc-cpsaa,,,,,,,,,,
OD,od-cc1,CC1,"Analiza y comprende ideas relativas a la dimensión social y ciudadana de su propia identidad, así como a los hechos culturales, históricos y normativos que la determinan, demostrando respeto por las normas, empatía, equidad y espíritu constructivo en la interacción con los demás en cualquier contexto.",kc-cc,,,,,,,,,,
OD,od-cpsaa5,CPSAA5,[Pendiente: no definido en el Anexo I del Decreto 59/2022],kc-cpsaa,,,,,,,,,,
OD,od-ce1,CE1,"Analiza necesidades y oportunidades y afronta retos con sentido crítico, haciendo balance de su sostenibilidad, valorando el impacto que puedan suponer en el entorno, para presentar ideas y soluciones innovadoras, éticas y sostenibles, dirigidas a crear valor en el ámbito personal, social, educativo y profesional.",kc-ce,,,,,,,,,,
OD,od-stem5,STEM5,"Emprende acciones fundamentadas científicamente para promover la salud física, mental y social, y preservar el medio ambiente y los seres vivos; y aplica principios de ética y seguridad en la realización de proyectos para transformar su entorno próximo de forma sostenible, valorando su impacto global y practicando el consumo responsable.",kc-stem,,,,,,,,,,
OD,od-cpsaa1,CPSAA1,"Regula y expresa sus emociones, fortaleciendo el optimismo, la resiliencia, la autoeficacia y la búsqueda de propósito y motivación hacia el aprendizaje, para gestionar los retos y cambios y armonizarlos con sus propios objetivos.",kc-cpsaa,,,,,,,,,,
OD,od-cpsaa2,CPSAA2,"Comprende los riesgos para la salud relacionados con factores sociales, consolida estilos de vida saludable a nivel físico y mental, reconoce conductas contrarias a la convivencia y aplica estrategias para abordarlas.",kc-cpsaa,,,,,,,,,,
OD,od-cc4,CC4,"Comprende las relaciones sistémicas de interdependencia, ecodependencia e interconexión entre actuaciones locales y globales, y adopta, de forma consciente y motivada, un estilo de vida sostenible y ecosocialmente responsable.",kc-cc,,,,,,,,,,
OD,od-cc3,CC3,"Comprende y analiza problemas éticos fundamentales y de actualidad, considerando críticamente los valores propios y ajenos, y desarrollando juicios propios para afrontar la controversia moral con actitud dialogante, argumentativa, respetuosa y opuesta a cualquier tipo de discriminación o violencia.",kc-cc,,,,,,,,,,
OD,od-ccec1,CCEC1,"Conoce, aprecia críticamente y respeta el patrimonio cultural y artístico, implicándose en su conservación y valorando el enriquecimiento inherente a la diversidad cultural y artística.",kc-ccec,,,,,,,,,,
SC,sc-bg1-1,CEs 1,Interpretar y transmitir información y datos científicos argumentando sobre ellos y utilizando diferentes formatos para analizar conceptos y procesos de las ciencias biológicas y geológicas.,od-ccl1,od-ccl2,od-ccl5,od-stem2,od-stem3,od-stem4,od-cd2,od-cd3,od-ce3,od-ccec4,
SC,sc-bg1-2,CEs 2,"Identificar, localizar y seleccionar información, contrastando su veracidad, organizándola y evaluándola críticamente para resolver preguntas relacionadas con las ciencias biológicas y geológicas.",od-ccl3,od-stem1,od-stem2,od-stem4,od-cd1,od-cd2,od-cd3,od-cd4,od-cd5,od-cpsaa4,
SC,sc-bg1-3,CEs 3,"Planificar y desarrollar proyectos de investigación, siguiendo los pasos de las metodologías científicas y cooperando cuando sea necesario para indagar en aspectos relacionados con las ciencias geológicas y biológicas.",od-ccl1,od-stem2,od-stem3,od-stem4,od-cd1,od-cd2,od-cpsaa3,od-cc1,od-ce3,,
SC,sc-bg1-4,CEs 4,"Utilizar el razonamiento y el pensamiento computacional, analizando críticamente las respuestas y soluciones y reformulando el procedimiento, si fuera necesario, para resolver problemas o dar explicación a procesos de la vida cotidiana relacionados con la biología y la geología.",od-ccl2,od-stem1,od-stem2,od-stem3,od-cd3,od-cd5,od-cpsaa4,od-cpsaa5,od-ce1,od-ce3,od-ccec4
SC,sc-bg1-5,CEs 5,"Analizar los efectos de determinadas acciones sobre el medio ambiente y la salud, basándose en los fundamentos de las ciencias biológicas y de la Tierra, para promover y adoptar hábitos que eviten o minimicen los impactos medioambientales negativos, sean compatibles con un desarrollo sostenible y permitan mantener y mejorar la salud individual y colectiva.",od-ccl2,od-stem2,od-stem5,od-cd4,od-cpsaa1,od-cpsaa2,od-cc4,od-cc3,od-ce1,od-ccec1,
SC,sc-bg1-6,CEs 6,"Analizar los elementos de un paisaje concreto valorándolo como patrimonio natural y utilizando conocimientos sobre geología y ciencias de la Tierra para explicar su historia geológica, proponer acciones encaminadas a su protección e identificar posibles riesgos naturales.",od-ccl2,od-stem1,od-stem2,od-stem4,od-stem5,od-cd1,od-cd4,od-cpsaa2,od-cc4,od-ce1,od-ccec1
EC,ec-bg1-1.1,1.1,"Analizar conceptos y procesos biológicos y geológicos interpretando información en diferentes formatos (textos, imágenes, modelos, gráficos, tablas, diagramas, fórmulas, esquemas, símbolos, páginas web, etc.), manteniendo una actitud crítica y obteniendo conclusiones fundamentadas.",,,,,,,,,,,
EC,ec-bg1-1.2,1.2,"Facilitar la comprensión y análisis de información sobre procesos biológicos y geológicos transmitiéndola de forma clara y utilizando la terminología y los formatos adecuados (imágenes, modelos, gráficos, tablas, vídeos, informes, diagramas, fórmulas, esquemas, símbolos, contenidos digitales, etc.), exponiendo argumentos fundamentados, respetuosos y flexibles.",,,,,,,,,,,
EC,ec-bg1-1.3,1.3,"Analizar y explicar fenómenos biológicos y geológicos representándolos mediante modelos y diagramas, utilizando, cuando sea necesario, los pasos del método científico o del diseño de ingeniería (identificación del problema, exploración, diseño, creación, evaluación y mejora).",,,,,,,,,,,
EC,ec-bg1-2.1,2.1,"Resolver cuestiones sobre Biología y Geología localizando, seleccionando y organizando información de distintas fuentes y citándolas correctamente.",,,,,,,,,,,
EC,ec-bg1-2.2,2.2,"Reconocer la información sobre temas biológicos y geológicos con base científica distinguiéndola de pseudociencias, bulos, teorías conspiratorias y creencias infundadas y manteniendo una actitud escéptica ante estos.",,,,,,,,,,,
EC,ec-bg1-2.3,2.3,"Valorar la contribución de la ciencia a la sociedad y la labor de las personas dedicadas a ella con independencia de su etnia, sexo o cultura, destacando y reconociendo el papel de las mujeres científicas y entendiendo la investigación como una labor colectiva e interdisciplinar en constante evolución.",,,,,,,,,,,
EC,ec-bg1-3.1,3.1,Plantear preguntas e hipótesis e intentar realizar predicciones sobre fenómenos biológicos o geológicos que puedan ser respondidas o contrastadas utilizando métodos científicos.,,,,,,,,,,,
EC,ec-bg1-3.2,3.2,"Diseñar la experimentación, la toma de datos y el análisis de fenómenos biológicos y geológicos de modo que permitan responder a preguntas concretas y contrastar una hipótesis planteada.",,,,,,,,,,,
EC,ec-bg1-3.3,3.3,"Realizar experimentos y tomar datos cuantitativos o cualitativos sobre fenómenos biológicos y geológicos utilizando los instrumentos, herramientas o técnicas adecuadas con corrección.",,,,,,,,,,,
EC,ec-bg1-3.4,3.4,"Interpretar los resultados obtenidos en un proyecto de investigación utilizando, cuando sea necesario, herramientas matemáticas y tecnológicas.",,,,,,,,,,,
EC,ec-bg1-3.5,3.5,"Cooperar dentro de un proyecto científico asumiendo responsablemente una función concreta, utilizando espacios virtuales cuando sea necesario, respetando la diversidad y favoreciendo la inclusión.",,,,,,,,,,,
EC,ec-bg1-4.1,4.1,"Resolver problemas, crear modelos o dar explicación a procesos biológicos o geológicos utilizando conocimientos, datos e información proporcionados por el profesorado, el razonamiento lógico, el pensamiento computacional o los recursos digitales.",,,,,,,,,,,
EC,ec-bg1-4.2,4.2,Analizar críticamente la solución a un problema sobre fenómenos biológicos y geológicos.,,,,,,,,,,,
EC,ec-bg1-5.1,5.1,"Relacionar con fundamentos científicos la preservación de la biodiversidad, la conservación del medio ambiente, la protección de los seres vivos del entorno, el desarrollo sostenible y la calidad de vida.",,,,,,,,,,,
EC,ec-bg1-5.2,5.2,"Proponer y adoptar hábitos sostenibles analizando de una manera crítica las actividades propias y ajenas a partir de los propios razonamientos, de los conocimientos adquiridos y de la información disponible.",,,,,,,,,,,
EC,ec-bg1-5.3,5.3,"Proponer y adoptar hábitos saludables, analizando las acciones propias y ajenas con actitud crítica y a partir de fundamentos fisiológicos.",,,,,,,,,,,
EC,ec-bg1-6.1,6.1,Valorar la importancia del paisaje como patrimonio natural analizando la fragilidad de los elementos que lo componen.,,,,,,,,,,,
EC,ec-bg1-6.2,6.2,Interpretar el paisaje analizando sus elementos y reflexionando sobre el impacto ambiental y los riesgos naturales derivados de determinadas acciones humanas.,,,,,,,,,,,
EC,ec-bg1-6.3,6.3,"Reflexionar sobre los riesgos naturales mediante el análisis de los elementos de un paisaje, valorando la importancia de mantener un compromiso con el medio ambiente para el desarrollo seguro, sostenible e igualitario de la humanidad.",,,,,,,,,,,
SB,sb-bg1-a1,A.1,"Hipótesis, preguntas y conjeturas: planteamiento con perspectiva científica.",,,,,,,,,,,
SB,sb-bg1-a2,A.2,"Estrategias para la búsqueda de información, la colaboración y la comunicación de procesos, resultados o ideas científicas: herramientas digitales y formatos de uso frecuente en ciencia (presentación, gráfica, vídeo, póster, informe, etc.).",,,,,,,,,,,
SB,sb-bg1-a3,A.3,Fuentes fidedignas de información científica: reconocimiento y utilización.,,,,,,,,,,,
SB,sb-bg1-a4,A.4,Métodos de observación y de toma de datos de fenómenos naturales.,,,,,,,,,,,
SB,sb-bg1-a5,A.5,"La respuesta a cuestiones científicas mediante la experimentación y el trabajo de campo: utilización de los instrumentos y espacios necesarios (laboratorio, aulas, entorno, etc.) de forma adecuada.",,,,,,,,,,,
SB,sb-bg1-a6,A.6,Modelado como método de representación y comprensión de procesos o elementos de la naturaleza.,,,,,,,,,,,
SB,sb-bg1-a7,A.7,Métodos de análisis de resultados. Diferenciación entre correlación y causalidad y argumentación de las conclusiones obtenidas.,,,,,,,,,,,
SB,sb-bg1-a8,A.8,La labor científica y las personas dedicadas a la ciencia: contribución a las ciencias biológicas y geológicas e importancia social. El papel de la mujer en la ciencia.,,,,,,,,,,,
SB,sb-bg1-b1,B.1,Conceptos de roca y mineral: características y propiedades.,,,,,,,,,,,
SB,sb-bg1-b2,B.2,"Estrategias de clasificación de las rocas: sedimentarias, metamórficas e ígneas. El ciclo de las rocas",,,,,,,,,,,
SB,sb-bg1-b3,B.3,Rocas y minerales relevantes del entorno: identificación. Rocas y minerales del Principado de Asturias.,,,,,,,,,,,
SB,sb-bg1-b4,B.4,Usos de los minerales y las rocas: su utilización en la fabricación de materiales y objetos cotidianos.,,,,,,,,,,,
SB,sb-bg1-b5,B.5,La estructura básica de la geosfera.,,,,,,,,,,,
SB,sb-bg1-c1,C.1,"La célula como unidad estructural, funcional y de origen de los seres vivos.",,,,,,,,,,,
SB,sb-bg1-c2,C.2,"La célula procariota, la célula eucariota animal y la célula eucariota vegetal y sus partes.",,,,,,,,,,,
SB,sb-bg1-c3,C.3,Observación y comparación de muestras microscópicas.,,,,,,,,,,,
SB,sb-bg1-d1,D.1,"Los seres vivos: diferenciación, clasificación e identificación en los principales reinos y las principales formas acelulares.",,,,,,,,,,,
SB,sb-bg1-d2,D.2,Los principales grupos taxonómicos: observación de especies del entorno y clasificación a partir de sus características distintivas.,,,,,,,,,,,
SB,sb-bg1-d3,D.3,"Las especies del entorno: estrategias de identificación (guías, claves dicotómicas, herramientas digitales, visu, etc.). Especies características del Principado de Asturias.",,,,,,,,,,,
SB,sb-bg1-d4,D.4,Los animales como seres sintientes: semejanzas y diferencias con los seres vivos no sintientes.,,,,,,,,,,,
SB,sb-bg1-e1,E.1,"Los ecosistemas del entorno, sus componentes bióticos y abióticos y los tipos de relaciones intraespecíficas e interespecíficas que se dan en ellos.",,,,,,,,,,,
SB,sb-bg1-e2,E.2,"La importancia de la conservación de los ecosistemas, la biodiversidad y la implantación de un modelo de desarrollo sostenible.",,,,,,,,,,,
SB,sb-bg1-e3,E.3,Las funciones de la atmósfera y la hidrosfera y su papel esencial para la vida en la Tierra.,,,,,,,,,,,
SB,sb-bg1-e4,E.4,Las causas del cambio climático y sus consecuencias sobre los ecosistemas.,,,,,,,,,,,
SB,sb-bg1-e5,E.5,"La importancia de los hábitos sostenibles (consumo responsable, prevención y gestión de residuos, respeto al medio ambiente, etc.).",,,,,,,,,,,
SB,sb-bg1-e6,E.6,"La relación entre la salud medioambiental, humana y de otros seres vivos: one health (una sola salud).",,,,,,,,,,,
SB,sb-bg1-h1,H.1,Concepto de enfermedades infecciosas y no infecciosas: diferenciación según su etiología.,,,,,,,,,,,
SB,sb-bg1-h2,H.2,Medidas de prevención y tratamientos de las enfermedades infecciosas en función de su agente causal y la importancia del uso adecuado de los antibióticos.,,,,,,,,,,,
BB,bb-bg1-a,A,Proyecto científico,,,,,,,,,,,
BB,bb-bg1-b,B,Geología,,,,,,,,,,,
BB,bb-bg1-c,C,La célula,,,,,,,,,,,
BB,bb-bg1-d,D,Seres vivos,,,,,,,,,,,
BB,bb-bg1-e,E,Ecología y sostenibilidad,,,,,,,,,,,
BB,bb-bg1-h,H,Salud y enfermedad,,,,,,,,,,,
