type,id,code,description,link1,link2,link3,link4
OD,od-ccec1,CCEC1,"Conoce, aprecia críticamente y respeta el patrimonio cultural y artístico, implicándose en su conservación y valorando el enriquecimiento inherente a la diversidad cultural y artística.",kc-ccec,,,
OD,od-ccec2,CCEC2,"Disfruta, reconoce y analiza con autonomía las especificidades e intencionalidades de las manifestaciones artísticas y culturales más destacadas del patrimonio, distinguiendo los medios y soportes, así como los lenguajes y elementos técnicos que las caracterizan.",kc-ccec,,,
OD,od-cc4,CC4,"Comprende las relaciones sistémicas de interdependencia, ecodependencia e interconexión entre actuaciones locales y globales, y adopta, de forma consciente y motivada, un estilo de vida sostenible y ecosocialmente responsable.",kc-cc,,,
SC,sc-ef4-1,CEs 1,"Adoptar un estilo de vida activo y saludable, seleccionando e incorporando intencionalmente actividades físicas y deportivas en las rutinas diarias a partir de un análisis crítico de los modelos corporales y del rechazo de las prácticas que carezcan de base científica, para hacer un uso saludable y autónomo del tiempo libre y así mejorar la calidad de vida.",od-ccl3,od-stem2,od-stem5,od-cd4
SC,sc-ef4-2,CEs 2,"Adaptar, con progresiva autonomía en su ejecución, las capacidades físicas, perceptivo-motrices y coordinativas, así como las habilidades y destrezas motrices, aplicando procesos de percepción, decisión y ejecución adecuados a la lógica interna y a los objetivos de diferentes situaciones con dificultad variable, para resolver",od-cpsaa4,od-cpsaa5,,
SC,sc-ef4-3,CEs 3,"Compartir espacios de práctica físico-deportiva con independencia de las diferencias culturales, sociales, de género y de habilidad, priorizando el respeto hacia los participantes y a las reglas sobre los resultados, adoptando una actitud crítica ante comportamientos antideportivos o contrarios a la convivencia y desarrollando procesos de autorregulación emocional que canalicen el fracaso y el éxito en estas situaciones, para contribuir con progresiva autonomía al entendimiento social y al compromiso ético en los diferentes espacios en los que se participa.",od-ccl5,od-cpsaa1,od-cpsaa3,
SC,sc-ef4-4,CEs 4,"Analizar y valorar distintas manifestaciones de la cultura motriz aprovechando las posibilidades y recursos expresivos que ofrecen el cuerpo y el movimiento y profundizando en las consecuencias del deporte como fenómeno social, analizando críticamente sus manifestaciones desde la perspectiva de género y desde los intereses económico-políticos que lo rodean, para alcanzar una visión más realista, contextualizada y justa de la motricidad en el marco de las sociedades actuales.",od-cc2,od-cc3,od-ccec1,od-ccec2
SC,sc-ef4-5,CEs 5,"Adoptar un estilo de vida sostenible y eco socialmente responsable aplicando medidas de seguridad individuales y colectivas en la práctica físicodeportiva según el entorno y desarrollando colaborativa y cooperativamente acciones de servicio a la comunidad vinculadas a la actividad física y al deporte, para contribuir activamente a la conservación del medio natural y urbano.",od-stem5,od-cc4,,
EC,ec-ef4-1.1,1.1,"Planificar y autorregular la práctica de actividad física orientada al concepto integral de salud y al estilo de vida activo, según las necesidades e intereses individuales y respetando la propia realidad e identidad corporal.",,,,
EC,ec-ef4-1.2,1.2,"Incorporar de forma autónoma los procesos de activación corporal, autorregulación y dosificación del esfuerzo, alimentación saludable, educación postural, relajación e higiene durante la práctica de actividades motrices, interiorizando las rutinas propias de una práctica motriz saludable y responsable.",,,,
EC,ec-ef4-1.3,1.3,"Adoptar de manera responsable y autónoma medidas específicas para la prevención de lesiones antes, durante y después de la práctica de actividad física, aprendiendo a reconocer situaciones de riesgo para actuar preventivamente.",,,,
EC,ec-ef4-1.4,1.4,Actuar de acuerdo a los protocolos de intervención ante situaciones de emergencia o accidentes aplicando medidas específicas de primeros auxilios.,,,,
EC,ec-ef4-1.5,1.5,"Adoptar actitudes comprometidas y transformadoras que rechacen los estereotipos sociales asociados al ámbito de lo corporal y los comportamientos que pongan en riesgo la salud, contrastando con autonomía e independencia cualquier información en base a criterios científicos de validez, fiabilidad y objetividad.",,,,
EC,ec-ef4-1.6,1.6,"Planificar, desarrollar y compartir con seguridad la práctica física cotidiana manejando recursos y aplicaciones digitales vinculadas al ámbito de la actividad física y el deporte.",,,,
EC,ec-ef4-2.1,2.1,"Desarrollar proyectos motores de carácter individual, cooperativo o colaborativo, estableciendo mecanismos para reconducir los procesos de trabajo y asegurar una participación equilibrada, incluyendo estrategias de autoevaluación y coevaluación tanto del proceso como del resultado.",,,,
EC,ec-ef4-2.2,2.2,"Mostrar habilidades para la adaptación y la actuación ante situaciones con una elevada incertidumbre, aprovechando eficientemente las propias capacidades y aplicando de manera automática procesos de percepción, decisión y ejecución en contextos reales o simulados de actuación, reflexionando sobre las soluciones y resultados obtenidos.",,,,
EC,ec-ef4-2.3,2.3,"Evidenciar control y dominio corporal al emplear los componentes cualitativos y cuantitativos de la motricidad de manera eficiente y creativa, resolviendo problemas en todo tipo de situaciones motrices transferibles a su espacio vivencial con autonomía.",,,,
EC,ec-ef4-3.1,3.1,"Practicar y participar activamente asumiendo responsabilidades en la organización de una gran variedad de actividades motrices, valorando las implicaciones éticas de las prácticas antideportivas, evitando la competitividad desmedida y actuando con deportividad al asumir los roles de espectador/a, participante u otros.",,,,
EC,ec-ef4-3.2,3.2,"Cooperar o colaborar en la práctica de diferentes producciones motrices y proyectos para alcanzar el logro individual y grupal, participando con autonomía en la toma de decisiones vinculadas a la asignación de roles, la gestión del tiempo de práctica y la optimización del resultado final.",,,,
EC,ec-ef4-3.3,3.3,"Relacionarse y entenderse con el resto de participantes durante el desarrollo de diversas prácticas motrices con autonomía y haciendo uso efectivo de habilidades sociales de diálogo en la resolución de conflictos y respeto ante la diversidad, ya sea de género, afectivo-sexual, de origen nacional, étnica, socio-económica o de competencia motriz, y posicionándose activamente frente a los estereotipos, las actuaciones discriminatorias y cualquier tipo de violencia, haciendo respetar el propio cuerpo y el ajeno.",,,,
EC,ec-ef4-4.1,4.1,"Comprender y practicar diversas modalidades relacionadas con la cultura propia, la tradicional o las procedentes de otros lugares del mundo, identificando y contextualizando la influencia social del deporte en las sociedades actuales y valorando sus orígenes, evolución, distintas manifestaciones e intereses económico-políticos.",,,,
EC,ec-ef4-4.2,4.2,"Adoptar actitudes comprometidas y conscientes acerca de los distintos estereotipos de género y comportamientos sexistas que se siguen produciendo en algunos contextos de la motricidad, identificando los factores que contribuyen a su mantenimiento y ayudando a difundir referentes de distintos géneros en el ámbito físico-deportivo.",,,,
EC,ec-ef4-4.3,4.3,"Crear y representar composiciones individuales o colectivas con y sin base musical y de manera coordinada, utilizando intencionadamente y con autonomía el cuerpo y el movimiento como herramienta de expresión y comunicación a través de diversas técnicas expresivas específicas, y ayudando a difundir y compartir dichas prácticas culturales entre compañeros u otros miembros de la comunidad.",,,,
EC,ec-ef4-5.1,5.1,"Participar en actividades físico-deportivas en entornos naturales terrestres o acuáticos, disfrutando del entorno de manera sostenible, minimizando el impacto ambiental que estas puedan producir, siendo conscientes de su huella ecológica y desarrollando actuaciones intencionadas dirigidas a la conservación y mejora de las condiciones de los espacios en los que se desarrollen.",,,,
EC,ec-ef4-5.2,5.2,"Diseñar y organizar actividades físico-deportivas en el medio natural y urbano, asumiendo responsabilidades y aplicando normas de seguridad individuales y colectivas.",,,,
SB,sb-ef4-a1,A.1,"Salud física: control de resultados y variables fisiológicas básicas como consecuencia del ejercicio físico. Autorregulación y planificación del entrenamiento. Alimentación saludable y análisis crítico de la publicidad (dietas no saludables, fraudulentas o sin base científica. Alimentos no saludables y similares). Educación postural: movimientos, posturas y estiramientos ante dolores musculares. Pautas para tratar el dolor muscular de origen retardado. Ergonomía en actividades cotidianas (frente a pantallas, ordenador, mesa de trabajo y similares). Cuidado del cuerpo: calentamiento específico autónomo. Prácticas peligrosas, mitos y falsas creencias en torno al cuerpo y a la actividad física.",,,,
SB,sb-ef4-a2,A.2,Salud social: Suplementación y dopaje en el deporte. Riesgos y condicionantes éticos,,,,
SB,sb-ef4-a3,A.3,"Salud mental: exigencias y presiones de la competición. Tipologías corporales predominantes en la sociedad y análisis crítico de su presencia en los medios de comunicación. Efectos negativos de los modelos estéticos predominantes y trastornos vinculados al culto insano al cuerpo (vigorexia, anorexia, bulimia y otros). Creación de una identidad corporal definida y consolidada.",,,,
SB,sb-ef4-b1,B.1,"Elección de la práctica física: gestión y enfoque de los diferentes usos y finalidades de la actividad física y del deporte en función del contexto, actividad y compañeros de realización.",,,,
SB,sb-ef4-b2,B.2,Preparación de la práctica motriz: mantenimiento y reparación de material deportivo.,,,,
SB,sb-ef4-b3,B.3,Reflexión crítica sobre la importancia de las medidas y pautas de higiene en contextos de práctica de actividad física.,,,,
SB,sb-ef4-b4,B.4,Planificación y autorregulación de proyectos motores: establecimiento de mecanismos para registrar y controlar las aportaciones realizadas por los integrantes del grupo a lo largo de un proyecto. Herramientas digitales para la gestión de la actividad física.,,,,
SB,sb-ef4-b5,B.5,Prevención de accidentes en las prácticas motrices. Gestión del riesgo propio y del ajeno. Medidas colectivas de seguridad.,,,,
SB,sb-ef4-b6,B.6,"Actuaciones críticas ante accidentes. Reanimación mediante desfibrilador automático (DEA) o semiautomático (DESA). Protocolo RCP (reanimación cardiopulmonar). Técnicas específicas e indicios accidentes cardiovasculares (maniobra de Heimlich, señales de ictus y similares).",,,,
SB,sb-ef4-c1,C.1,"Toma de decisiones: búsqueda de adaptaciones motrices para resolver eficientemente tareas de cierta complejidad en situaciones motrices individuales. Coordinación de las acciones motrices para la resolución de la acción/tarea en situaciones cooperativas. Búsqueda de la acción más óptima en función de la acción y ubicación del rival, así como del lugar en el que se encuentre el móvil o resultado en situaciones motrices de persecución y de interacción con un móvil. Organización anticipada de los movimientos y acciones individuales en función de las características del contrario en situaciones de oposición de contacto. Delimitación de estrategias previas de ataque y defensa en función de las características de los integrantes del equipo y del equipo rival en situaciones motrices de colaboración-oposición de persecución y de interacción con un móvil.",,,,
SB,sb-ef4-c2,C.2,"Capacidades perceptivo-motrices en contexto de práctica: integración del esquema corporal; toma de decisiones previas a la realización de una actividad motriz acerca de los mecanismos coordinativos, espaciales y temporales para resolverla adecuadamente.",,,,
SB,sb-ef4-c3,C.3,Capacidades condicionales: desarrollo de las capacidades físicas básicas. Planificación para el desarrollo de las capacidades físicas básicas: fuerza y resistencia. Sistemas de entrenamiento.,,,,
SB,sb-ef4-c4,C.4,"Habilidades motrices específicas asociadas a la técnica en actividades físico-deportivas: profundización, identificación y corrección de errores comunes.",,,,
SB,sb-ef4-c5,C.5,Creatividad motriz: creación de retos y situaciones-problema con resolución posible de acuerdo a los recursos disponibles.,,,,
SB,sb-ef4-c6,C.6,Barreras arquitectónicas y obstáculos del entorno que impidan o dificulten la actividad física autónoma y saludable en el espacio público y vial.,,,,
SB,sb-ef4-d1,D.1,Autorregulación emocional: control de estados de ánimo y estrategias de gestión del fracaso en situaciones motrices. Habilidades volitivas y capacidad de superación.,,,,
SB,sb-ef4-d2,D.2,Habilidades sociales: estrategias de negociación y mediación en contextos motrices.,,,,
SB,sb-ef4-d3,D.3,Respeto a las reglas: dopaje y otras trampas en el deporte profesional.,,,,
SB,sb-ef4-d4,D.4,"Identificación y rechazo de conductas contrarias a la convivencia en situaciones motrices (comportamientos violentos, discriminación por cuestiones de género, competencia motriz, actitudes xenófobas, racistas, LGTBIfóbicas o sexistas). Asertividad y autocuidado.",,,,
SB,sb-ef4-e1,E.1,Aportaciones de la cultura motriz a la herencia cultural. Los deportes asturianos como seña de identidad cultural.,,,,
SB,sb-ef4-e2,E.2,Usos comunicativos de la corporalidad: técnicas específicas de expresión corporal.,,,,
SB,sb-ef4-e3,E.3,"Práctica de actividades rítmico-musicales con carácter expresivo. Organización de espectáculos, veladas y eventos artístico-expresivos.",,,,
SB,sb-ef4-e4,E.4,"Deporte y perspectiva de género: historia del deporte desde la perspectiva de género. Igualdad en el acceso al deporte (diferencias según género, país, cultura y otros). Estereotipos de competencia motriz percibida según el género, la edad o cualquier otra característica. Ejemplos de referentes que muestren la diversidad en el deporte.",,,,
SB,sb-ef4-e5,E.5,Influencia del deporte en la cultura actual: deporte e intereses políticos y económicos.,,,,
SB,sb-ef4-f1,F.1,"Normas de uso: respeto a las normas viales en los desplazamientos activos cotidianos para una movilidad segura, saludable y sostenible.",,,,
SB,sb-ef4-f2,F.2,La práctica de la bicicleta como medio de transporte habitual.,,,,
SB,sb-ef4-f3,F.3,"Nuevos espacios y prácticas deportivas urbanas (crossfit, gimnasios urbanos, circuitos de calistenia o similares).",,,,
SB,sb-ef4-f4,F.4,Análisis del riesgo en las prácticas físico-deportivas en el medio natural: gestión del riesgo propio y del ajeno en el medio natural. Medidas colectivas de seguridad.,,,,
SB,sb-ef4-f5,F.5,Consumo responsable: uso sostenible y mantenimiento de recursos urbanos y naturales para la práctica de actividad física.,,,,
SB,sb-ef4-f6,F.6,Diseño y organización de actividades físicas en el medio natural y urbano.,,,,
SB,sb-ef4-f7,F.7,"Cuidado del entorno próximo, como servicio a la comunidad, durante la práctica de actividad física en el medio natural del Principado de Asturias.",,,,
