type,id,code,description,link1,link2,link3,link4,link5,link6
EC,ec-dt1-2.3,2.3,Resolver gráficamente tangencias y trazar curvas aplicando sus propiedades con rigor en su ejecución.,,,,,,
EC,ec-dt1-3.1,3.1,"Representar en sistema diédrico elementos básicos en el espacio determinando su relación de pertenencia, posición y distancia.",,,,,,
EC,ec-dt1-3.2,3.2,Definir elementos y figuras planas en sistemas axonométricos valorando su importancia como métodos de representación espacial.,,,,,,
EC,ec-dt1-3.3,3.3,Representar e interpretar elementos básicos en el sistema de planos acotados haciendo uso de sus fundamentos.,,,,,,
EC,ec-dt1-3.4,3.4,Dibujar elementos en el espacio empleando la perspectiva cónica.,,,,,,
EC,ec-dt1-3.5,3.5,"Valorar el rigor gráfico del proceso; la claridad, la precisión y el proceso de resolución y construcción gráfica.",,,,,,
EC,ec-dt1-4.1,4.1,"Documentar gráficamente objetos sencillos mediante sus vistas acotadas aplicando la normativa UNE e ISO en la utilización de sintaxis, escalas y formatos, valorando la importancia de usar un lenguaje técnico común.",,,,,,
EC,ec-dt1-4.2,4.2,Utilizar el croquis y el boceto como elementos de reflexión en la aproximación e indagación de alternativas y soluciones a los procesos de trabajo.,,,,,,
EC,ec-dt1-5.1,5.1,"Crear figuras planas y tridimensionales mediante programas de dibujo vectorial, usando las herramientas que aportan y las técnicas asociadas.",,,,,,
EC,ec-dt1-5.2,5.2,Recrear virtualmente piezas en tres dimensiones aplicando operaciones algebraicas entre primitivas para la presentación de proyectos en grupo.,,,,,,
SB,sb-dt1-a1,A.1,"Desarrollo histórico del dibujo técnico. Campos de acción y aplicaciones: dibujo arquitectónico, mecánico, eléctrico, y electrónico, geológico, urbanístico, etc.",,,,,,
SB,sb-dt1-a2,A.2,"Orígenes de la geometría. Thales, Pitágoras, Euclides, Hipatia de Alejandría.",,,,,,
SB,sb-dt1-a3,A.3,Concepto de lugar geométrico. Arco capaz. Aplicaciones de los lugares geométricos a las construcciones fundamentales.,,,,,,
SB,sb-dt1-a4,A.4,"Proporcionalidad, equivalencia y semejanza.",,,,,,
SB,sb-dt1-a5,A.5,"Triángulos, cuadriláteros y polígonos regulares. Propiedades y métodos de construcción.",,,,,,
SB,sb-dt1-a6,A.6,Tangencias básicas. Curvas técnicas.,,,,,,
SB,sb-dt1-a7,A.7,"Interés por el rigor en los razonamientos y precisión, claridad y limpieza en las ejecuciones.",,,,,,
SB,sb-dt1-b1,B.1,Fundamentos de la geometría proyectiva.,,,,,,
SB,sb-dt1-b2,B.2,"Sistema diédrico: representación de punto, recta y plano. Trazas con planos de proyección. Determinación del plano. Pertenencia.",,,,,,
SB,sb-dt1-b3,B.3,"Relaciones entre elementos: intersecciones, paralelismo y perpendicularidad. Obtención de distancias.",,,,,,
SB,sb-dt1-b4,B.4,"Sistema axonométrico, ortogonal y oblicuo. Perspectivas isométricas y caballera. Disposición de los ejes y uso de los coeficientes de reducción. Elementos básicos: punto, recta, plano.",,,,,,
SB,sb-dt1-b5,B.5,Sistema de planos acotados. Fundamentos y elementos básicos. Identificación de elementos para su interpretación en planos.,,,,,,
SB,sb-dt1-b6,B.6,Sistema cónico: fundamentos y elementos del sistema. Perspectiva frontal y oblicua.,,,,,,
SB,sb-dt1-c1,C.1,Escalas numéricas y gráficas. Construcción y uso.,,,,,,
SB,sb-dt1-c2,C.2,Formatos. Doblado de planos.,,,,,,
SB,sb-dt1-c3,C.3,Concepto de normalización. Las normas fundamentales UNE e ISO. Aplicaciones de la normalización: simbología industrial y arquitectónica.,,,,,,
SB,sb-dt1-c4,C.4,Elección de vistas necesarias. Líneas normalizadas. Acotación.,,,,,,
SB,sb-dt1-d1,D.1,Aplicaciones vectoriales 2D-3D.,,,,,,
SB,sb-dt1-d2,D.2,Fundamentos de diseño de piezas en tres dimensiones.,,,,,,
SB,sb-dt1-d3,D.3,Modelado de caja. Operaciones básicas con primitivas.,,,,,,
SB,sb-dt1-d4,D.4,Aplicaciones de trabajo en grupo para conformar piezas complejas a partir de otras más sencillas.,,,,,,
BB,bb-dt1-a,A,Fundamentos geométricos,,,,,,
BB,bb-dt1-b,B,Geometría proyectiva,,,,,,
BB,bb-dt1-c,C,Normalización y documentación gráfica de proyectos,,,,,,
BB,bb-dt1-d,D,Sistemas CAD,,,,,,
