type,id,code,description,link1,link2,link3,link4,link5,link6,link7
OD,od-cpsaa1.2,CPSAA1.2,"Desarrolla una personalidad autónoma, gestionando constructivamente los cambios, la participación social y su propia actividad para dirigir su vida.",kc-cpsaa,,,,,,
OD,od-stem3,STEM3,"Plantea y desarrolla proyectos diseñando y creando prototipos o modelos para generar o utilizar productos que den solución a una necesidad o problema de forma colaborativa, procurando la participación de todo el grupo, resolviendo pacíficamente los conflictos que puedan surgir, adaptándose ante la incertidumbre y evaluando el producto obtenido de acuerdo a los objetivos propuestos, la sostenibilidad y el impacto transformador en la sociedad.",kc-stem,,,,,,
OD,od-cd2,CD2,"Crea, integra y reelabora contenidos digitales de forma individual o colectiva, aplicando medidas de seguridad y respetando, en todo momento, los derechos de autoría digital para ampliar sus recursos y generar nuevo conocimiento.",kc-cd,,,,,,
OD,od-cpsaa3.1,CPSAA3.1,"Muestra sensibilidad hacia las emociones y experiencias de otras personas, siendo consciente de la influencia que ejerce el grupo en las personas, para consolidar una personalidad empática e independiente y desarrollar su inteligencia.",kc-cpsaa,,,,,,
OD,od-ce2,CE2,"Evalúa y reflexiona sobre las fortalezas y debilidades propias y las de otras personas, haciendo uso de estrategias de autoconocimiento y autoeficacia, interioriza los conocimientos económicos y financieros específicos y los transfiere a contextos locales y globales, aplicando estrategias y destrezas que agilicen el trabajo colaborativo y en equipo, para reunir y optimizar los recursos necesarios, que lleven a la acción una experiencia o iniciativa emprendedora de valor.",kc-ce,,,,,,
OD,od-ccec4.1,CCEC4.1,"Selecciona e integra con creatividad diversos medios y soportes, así como técnicas plásticas, visuales, audiovisuales, sonoras o corporales, para diseñar y producir proyectos artísticos y culturales sostenibles, analizando las oportunidades de desarrollo personal, social y laboral que ofrecen sirviéndose de la interpretación, la ejecución, la improvisación o la composición.",kc-ccec,,,,,,
OD,od-ccec4.2,CCEC4.2,"Planifica, adapta y organiza sus conocimientos, destrezas y actitudes para responder con creatividad y eficacia a los desempeños derivados de una producción cultural o artística, individual o colectiva, utilizando diversos lenguajes, códigos, técnicas, herramientas y recursos plásticos, visuales, audiovisuales, musicales, corporales o escénicos, valorando tanto el proceso como el producto final y comprendiendo las oportunidades personales, sociales, inclusivas y económicas que ofrecen.",kc-ccec,,,,,,
OD,od-cpsaa5,CPSAA5,"Planifica a largo plazo evaluando los propósitos y los procesos de la construcción del conocimiento, relacionando los diferentes campos del mismo para desarrollar procesos autorregulados de aprendizaje que le permitan transmitir ese conocimiento, proponer ideas creativas y resolver problemas con autonomía.",kc-cpsaa,,,,,,
OD,od-ce3,CE3,"Lleva a cabo el proceso de creación de ideas y soluciones innovadoras y toma decisiones, con sentido crítico y ético, aplicando conocimientos técnicos específicos y estrategias ágiles de planificación y gestión de proyectos, y reflexiona sobre el proceso realizado y el resultado obtenido, para elaborar un prototipo final de valor para el resto de las personas, considerando tanto la experiencia de éxito como de fracaso, una oportunidad para aprender.",kc-ce,,,,,,
SC,sc-cau1-1,CEs 1,"Analizar imágenes fotográficas fijas y producciones audiovisuales de distintos estilos, formatos, géneros y culturas, reconociendo sus cualidades plásticas, formales y semánticas y reflexionando sobre la historia de ambos medios, para desarrollar el criterio estético, valorar el patrimonio, ampliar las posibilidades de disfrute y enriquecer el imaginario propio.",od-ccl1,od-ccl2,od-stem2,od-cd1,od-ccec1,od-ccec2,
SC,sc-cau1-2,CEs 2,"Elaborar producciones audiovisuales individuales o colectivas, empleando la propia presencia en la imagen y la banda de sonido y evaluando el rigor ético y formal de los procedimientos, para expresar y comunicar ideas, opiniones y sentimientos y construir una personalidad creativa abierta, amplia y diversa.",od-cd3,od-cpsaa1.1,od-cpsaa1.2,,,,
SC,sc-cau1-3,CEs 3,"Seleccionar y utilizar las técnicas, herramientas y convenciones del lenguaje y la producción audiovisual, teniendo en cuenta todos sus aspectos (guion, planificación, interpretación, grabación, edición, etc.), para realizar creaciones audiovisuales de forma colectiva y aprender a desenvolverse en circunstancias diversas.",od-stem3,od-cd2,od-cd3,od-cpsaa3.1,od-ce2,od-ccec4.1,od-ccec4.2
SC,sc-cau1-4,CEs 4,"Determinar el público destinatario de una producción audiovisual, analizando sus características y atendiendo al propósito de la obra, para adoptar el lenguaje, el formato y los medios técnicos más adecuados y seleccionar las vías de difusión más oportunas.",od-stem3,od-cd2,od-cd3,od-cpsaa5,od-ce3,od-ccec4.2,
EC,ec-cau1-1.1,1.1,"Explicar los aspectos esenciales de la evolución del lenguaje fotográfico y audiovisual, valorando los cambios que se han producido a lo largo de la historia del medio.",,,,,,,
EC,ec-cau1-1.2,1.2,"Analizar las cualidades plásticas, formales y semánticas de producciones fotográficas y audiovisuales de distintos estilos, formatos, géneros y culturas, determinando las reglas y códigos por las que se rigen y valorando la flexibilidad de esas normas.",,,,,,,
EC,ec-cau1-1.3,1.3,"Proponer interpretaciones personales del patrimonio fotográfico y audiovisual, argumentando desde un criterio estético propio.",,,,,,,
EC,ec-cau1-2.1,2.1,"Diseñar producciones audiovisuales creativas que representen las ideas, opiniones y sentimientos propios a partir de un tema o motivo previos, incorporando las experiencias personales y el acercamiento a otros medios de expresión.",,,,,,,
EC,ec-cau1-2.2,2.2,"Evaluar el rigor ético y formal con el que se usan las herramientas de creación fotográfica y audiovisual, analizando diversas producciones, distinguiendo críticamente los modos de presentar las informaciones y los mensajes, identificando su posible manipulación y reflexionando sobre la necesidad de respeto de la propiedad intelectual y los derechos de autor.",,,,,,,
EC,ec-cau1-2.3,2.3,"Realizar producciones audiovisuales creativas que representen las ideas, opiniones y sentimientos propios a partir de un tema o motivo previos, utilizando la propia presencia en la imagen y la banda de sonido y empleando el lenguaje y los medios de producción con rigor ético y formal.",,,,,,,
EC,ec-cau1-3.1,3.1,"Confeccionar adecuadamente los equipos de trabajo para producciones audiovisuales colectivas, identificando las diferentes habilidades requeridas y repartiendo las tareas con criterio.",,,,,,,
EC,ec-cau1-3.2,3.2,"Planificar producciones audiovisuales determinando los medios y habilidades necesarios, teniendo en cuenta todos sus aspectos (guion, planificación, interpretación, grabación, edición…, etc.), justificando razonadamente su elección y considerando los posibles imprevistos y la manera de resolverlos.",,,,,,,
EC,ec-cau1-3.3,3.3,"Demostrar flexibilidad y habilidad para resolver los imprevistos propios de las producciones audiovisuales, teniéndolos en cuenta en su planificación y considerando de manera abierta las diferentes posibilidades para resolver un problema sobrevenido.",,,,,,,
EC,ec-cau1-3.4,3.4,"Realizar producciones audiovisuales de manera creativa, utilizando correctamente las técnicas, herramientas y convenciones del lenguaje necesarias, valorando el trabajo colaborativo e intentando conseguir un resultado final ajustado al proyecto preparado previamente.",,,,,,,
EC,ec-cau1-4.1,4.1,"Justificar la elección del lenguaje, el formato y los medios técnicos en producciones audiovisuales, considerando previamente el tipo de público al que se quieren dirigir.",,,,,,,
EC,ec-cau1-4.2,4.2,"Seleccionar las vías de difusión más adecuadas para producciones audiovisuales, teniendo en cuenta su propósito, valorando de manera crítica e informada las posibilidades existentes, utilizando entornos seguros y respetando la propiedad intelectual y los derechos de autor.",,,,,,,
EC,ec-cau1-4.3,4.3,"Analizar de manera abierta y respetuosa la recepción de las producciones audiovisuales presentadas, comprobando la adecuación del lenguaje, el formato y los medios técnicos de la obra, así como de las vías de difusión, y extrayendo de ello un aprendizaje para el crecimiento creativo.",,,,,,,
