type,id,code,description,link1,link2,link3,link4,link5,link6
EC,ec-dt2-2.3,2.3,"Trazar curvas cónicas y sus rectas tangentes aplicando propiedades y métodos de construcción, mostrando interés por la precisión.",,,,,,
EC,ec-dt2-3.1,3.1,"Resolver problemas geométricos mediante abatimientos, giros y cambios de plano, reflexionando sobre los métodos utilizados y los resultados obtenidos.",,,,,,
EC,ec-dt2-3.2,3.2,Representar cuerpos geométricos y de revolución aplicando los fundamentos del sistema diédrico.,,,,,,
EC,ec-dt2-3.3,3.3,"Recrear la realidad tridimensional mediante la representación de sólidos en perspectivas axonométrica y cónica, aplicando los conocimientos específicos de dichos sistemas de representación.",,,,,,
EC,ec-dt2-3.4,3.4,Desarrollar proyectos gráficos sencillos mediante el sistema de planos acotados.,,,,,,
EC,ec-dt2-3.5,3.5,"Valorar el rigor gráfico del proceso; la claridad, la precisión y el proceso de resolución y construcción gráfica.",,,,,,
EC,ec-dt2-4.1,4.1,"Elaborar la documentación gráfica apropiada a proyectos de diferentes campos, formalizando y definiendo diseños técnicos empleando croquis y planos conforme a la normativa UNE e ISO.",,,,,,
EC,ec-dt2-5.1,5.1,Integrar el soporte digital en la representación de objetos y construcciones mediante aplicaciones CAD valorando las posibilidades que estas herramientas aportan al dibujo y al trabajo colaborativo.,,,,,,
SB,sb-dt2-a1,A.1,La geometría en la arquitectura e ingeniería desde la revolución industrial. Los avances en el desarrollo tecnológico y en las técnicas digitales aplicadas a la construcción de nuevas formas.,,,,,,
SB,sb-dt2-a2,A.2,Transformaciones geométricas: homología y afinidad. Aplicación para la resolución de problemas en los sistemas de representación.,,,,,,
SB,sb-dt2-a3,A.3,Potencia de un punto respecto a una circunferencia. Eje radical y centro radical. Aplicaciones en tangencias.,,,,,,
SB,sb-dt2-a4,A.4,"Curvas cónicas: elipse, hipérbola y parábola. Propiedades y métodos de construcción. Rectas tangentes. Trazado con y sin herramientas digitales.",,,,,,
SB,sb-dt2-b1,B.1,"Sistema diédrico: figuras contenidas en planos. Abatimientos y verdaderas magnitudes. Giros y cambios de plano. Aplicaciones. Representación de cuerpos geométricos: prismas y pirámides. Secciones planas y verdaderas magnitudes de la sección. Representación de cuerpos de revolución rectos: cilindros y conos. Representación de poliedros regulares: tetraedro, hexaedro y octaedro.",,,,,,
SB,sb-dt2-b2,B.2,"Sistema axonométrico, ortogonal y oblicuo. Representación de figuras y sólidos.",,,,,,
SB,sb-dt2-b3,B.3,Sistema de planos acotados. Resolución de problemas de cubiertas sencillas. Representación de perfiles o secciones de terreno a partir de sus curvas de nivel.,,,,,,
SB,sb-dt2-b4,B.4,Perspectiva cónica. Representación de sólidos y formas tridimensionales a partir de sus vistas.,,,,,,
SB,sb-dt2-c1,C.1,"Representación de cuerpos y piezas industriales sencillas. Croquis y planos de taller. Cortes, secciones y roturas. Perspectivas normalizadas.",,,,,,
SB,sb-dt2-c2,C.2,"Diseño, ecología y sostenibilidad.",,,,,,
SB,sb-dt2-c3,C.3,Proyectos en colaboración. Elaboración de la documentación gráfica de un proyecto ingenieril o arquitectónico sencillo.,,,,,,
SB,sb-dt2-c4,C.4,Planos de montaje sencillos. Elaboración e interpretación.,,,,,,
SB,sb-dt2-d1,D.1,Aplicaciones CAD. Construcciones gráficas en soporte digital.,,,,,,
