type,id,code,description,link1,link2,link3,link4,link5
OD,od-stem3,STEM3,"Plantea y desarrolla proyectos diseñando y creando prototipos o modelos para generar o utilizar productos que den solución a una necesidad o problema de forma colaborativa, procurando la participación de todo el grupo, resolviendo pacíficamente los conflictos que puedan surgir, adaptándose ante la incertidumbre y evaluando el producto obtenido de acuerdo a los objetivos propuestos, la sostenibilidad y el impacto transformador en la sociedad.",kc-stem,,,,
OD,od-cd1,CD1,"Realiza búsquedas avanzadas comprendiendo cómo funcionan los motores de búsqueda en internet aplicando criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y organizando el almacenamiento de la información de manera adecuada y segura para referenciarla y reutilizarla posteriormente.",kc-cd,,,,
OD,od-cd3,CD3,"Selecciona, configura y utiliza dispositivos digitales, herramientas, aplicaciones y servicios en línea y los incorpora en su entorno personal de aprendizaje digital para comunicarse, trabajar colaborativamente y compartir información, gestionando de manera responsable sus acciones, presencia y visibilidad en la red y ejerciendo una ciudadanía digital activa, cívica y reflexiva.",kc-cd,,,,
OD,od-cpsaa3.2,CPSAA3.2,"Distribuye en un grupo las tareas, recursos y responsabilidades de manera ecuánime, según sus objetivos, favoreciendo un enfoque sistémico para contribuir a la consecución de objetivos compartidos.",kc-cpsaa,,,,
OD,od-ce2,CE2,"Evalúa y reflexiona sobre las fortalezas y debilidades propias y las de otras personas, haciendo uso de estrategias de autoconocimiento y autoeficacia, interioriza los conocimientos económicos y financieros específicos y los transfiere a contextos locales y globales, aplicando estrategias y destrezas que agilicen el trabajo colaborativo y en equipo, para reunir y optimizar los recursos necesarios, que lleven a la acción una experiencia o iniciativa emprendedora de valor.",kc-ce,,,,
OD,od-cpsaa3.1,CPSAA3.1,"Muestra sensibilidad hacia las emociones y experiencias de otras personas, siendo consciente de la influencia que ejerce el grupo en las personas, para consolidar una personalidad empática e independiente y desarrollar su inteligencia.",kc-cpsaa,,,,
OD,od-cpsaa5,CPSAA5,"Planifica a largo plazo evaluando los propósitos y los procesos de la construcción del conocimiento, relacionando los diferentes campos del mismo para desarrollar procesos autorregulados de aprendizaje que le permitan transmitir ese conocimiento, proponer ideas creativas y resolver problemas con autonomía.",kc-cpsaa,,,,
SC,sc-fq1-1,CEs 1,"Resolver problemas y situaciones relacionados con la física y la química, aplicando las leyes y teorías científicas adecuadas, para comprender y explicar los fenómenos naturales y evidenciar el papel de estas ciencias en la mejora del bienestar común y en la realidad cotidiana.",od-stem1,od-stem2,od-stem5,od-cpsaa1.2,
SC,sc-fq1-2,CEs 2,"Razonar con solvencia, usando el pensamiento científico y las destrezas relacionadas con el trabajo de la ciencia, para aplicarlos a la observación de la naturaleza y el entorno, a la formulación de preguntas e hipótesis y a la validación de las mismas a través de la experimentación, la indagación y la búsqueda de evidencias.",od-stem1,od-stem2,od-cpsaa4,od-ce1,
SC,sc-fq1-3,CEs 3,"Manejar con propiedad y solvencia el flujo de información en los diferentes registros de comunicación de la ciencia como la nomenclatura de compuestos químicos, el uso del lenguaje matemático, el uso correcto de las unidades de medida, la seguridad en el trabajo experimental, para la producción e interpretación de información en diferentes formatos y a partir de fuentes diversas.",od-ccl1,od-stem4,od-cd2,,
SC,sc-fq1-4,CEs 4,"Utilizar de forma autónoma, crítica y eficiente plataformas digitales y recursos variados, tanto para el trabajo individual como en equipo, consultando y seleccionando información científica veraz, creando materiales en diversos formatos y comunicando de manera efectiva en diferentes entornos de aprendizaje, para fomentar la creatividad, el desarrollo personal y el aprendizaje individual y social.",od-stem3,od-cd1,od-cd3,od-cpsaa3.2,od-ce2
SC,sc-fq1-5,CEs 5,"Trabajar de forma colaborativa en equipos diversos, aplicando habilidades de coordinación, comunicación, emprendimiento y reparto equilibrado de responsabilidades, para predecir las consecuencias de los avances científicos y su influencia sobre la salud propia y comunitaria y sobre el desarrollo medioambiental sostenible.",od-stem3,od-stem5,od-cpsaa3.1,od-cpsaa3.2,
SC,sc-fq1-6,CEs 6,"Participar de forma activa en la construcción colectiva y evolutiva del conocimiento científico, en su entorno cotidiano y cercano, para convertirse en agentes activos de la difusión del pensamiento científico, la aproximación escéptica a la información científica y tecnológica y la puesta en valor de la preservación del medioambiente y la salud pública, el desarrollo económico y la búsqueda de una sociedad igualitaria.",od-stem3,od-stem4,od-stem5,od-cpsaa5,od-ce2
EC,ec-fq1-1.1,1.1,"Aplicar las leyes y teorías científicas en el análisis de fenómenos fisicoquímicos cotidianos, comprendiendo las causas que los producen y explicándolas utilizando diversidad de soportes y medios de comunicación.",,,,,
EC,ec-fq1-1.2,1.2,"Resolver problemas fisicoquímicos planteados a partir de situaciones cotidianas, aplicando las leyes y teorías científicas para encontrar y argumentar las soluciones, expresando adecuadamente los resultados.",,,,,
EC,ec-fq1-1.3,1.3,"Identificar situaciones problemáticas en el entorno cotidiano, emprender iniciativas y buscar soluciones sostenibles desde la física y la química, analizando críticamente el impacto producido en la sociedad y el medioambiente, prestando especial atención al entorno asturiano.",,,,,
EC,ec-fq1-2.1,2.1,"Formular y verificar hipótesis como respuestas a diferentes problemas y observaciones, manejando con soltura el trabajo experimental, la indagación, la búsqueda de evidencias y el razonamiento lógico-matemático.",,,,,
EC,ec-fq1-2.2,2.2,"Utilizar diferentes métodos para encontrar la respuesta a una sola cuestión u observación, cotejando los resultados obtenidos por diferentes métodos, asegurándose así de su coherencia y fiabilidad.",,,,,
EC,ec-fq1-2.3,2.3,"Integrar las leyes y teorías científicas conocidas en el desarrollo del procedimiento de la validación de las hipótesis formuladas, aplicando relaciones cualitativas y cuantitativas entre las diferentes variables, de manera que el proceso sea más fiable y coherente con el conocimiento científico adquirido.",,,,,
EC,ec-fq1-3.1,3.1,"Utilizar y relacionar de manera rigurosa diferentes sistemas de unidades, empleando correctamente su notación y sus equivalencias, haciendo posible una comunicación efectiva con toda la comunidad científica.",,,,,
EC,ec-fq1-3.2,3.2,"Nombrar y formular correctamente sustancias simples, iones y compuestos químicos inorgánicos y orgánicos utilizando las normas de la IUPAC, como parte de un lenguaje integrador y universal para toda la comunidad científica.",,,,,
EC,ec-fq1-3.3,3.3,"Emplear diferentes formatos para interpretar y expresar información relativa a un proceso fisicoquímico concreto, relacionando entre sí la información que cada uno de ellos contiene y extrayendo de él lo más relevante durante la resolución de un problema.",,,,,
EC,ec-fq1-3.4,3.4,"Poner en práctica los conocimientos adquiridos en la experimentación científica en laboratorio o campo, incluyendo el conocimiento de sus materiales y su normativa básica de uso, así como de las normas de seguridad propias de estos espacios, y comprendiendo la importancia en el progreso científico y emprendedor de que la experimentación sea segura, sin comprometer la integridad física propia ni colectiva.",,,,,
EC,ec-fq1-4.1,4.1,"Interactuar con otros miembros de la comunidad educativa a través de diferentes entornos de aprendizaje, reales y virtuales, utilizando de forma autónoma y eficiente recursos variados, tradicionales y digitales, con rigor y respeto y analizando críticamente las aportaciones de todo el mundo.",,,,,
EC,ec-fq1-4.2,4.2,"Trabajar de forma autónoma y versátil, individualmente y en equipo, en la consulta de información y la creación de contenidos, utilizando con criterio las fuentes y herramientas más fiables, y desechando las menos adecuadas, mejorando así el aprendizaje propio y colectivo.",,,,,
EC,ec-fq1-5.1,5.1,"Participar de manera activa en la construcción del conocimiento científico, evidenciando la presencia de la interacción, la cooperación y la evaluación entre iguales, mejorando el cuestionamiento, la reflexión y el debate al alcanzar el consenso en la resolución de un problema o situación de aprendizaje.",,,,,
EC,ec-fq1-5.2,5.2,"Construir y producir conocimientos a través del trabajo colectivo, además de explorar alternativas para superar la asimilación de conocimientos ya elaborados y encontrando momentos para el análisis, la discusión y la síntesis, obteniendo como resultado la elaboración de productos representados en informes, pósteres, presentaciones, artículos, etc.",,,,,
EC,ec-fq1-5.3,5.3,"Debatir, de forma informada y argumentada, sobre las diferentes cuestiones medioambientales, sociales y éticas relacionadas con el desarrollo de las ciencias, alcanzando un consenso sobre las consecuencias de estos avances y proponiendo soluciones creativas en común a las cuestiones planteadas.",,,,,
EC,ec-fq1-6.1,6.1,"Identificar y argumentar científicamente las repercusiones de las acciones que el alumno o la alumna emprende en su vida cotidiana, analizando cómo mejorarlas como forma de participar activamente en la construcción de una sociedad mejor.",,,,,
EC,ec-fq1-6.2,6.2,"Detectar las necesidades de la sociedad sobre las que aplicar los conocimientos científicos adecuados que ayuden a mejorarla, incidiendo especialmente en aspectos importantes como la resolución de los grandes retos ambientales, el desarrollo sostenible y la promoción de la salud.",,,,,
SB,sb-fq1-a1,A.1,Desarrollo de la tabla periódica: contribuciones históricas a su elaboración actual e importancia como herramienta predictiva de las propiedades de los elementos.,,,,,
SB,sb-fq1-a2,A.2,Estructura electrónica de los átomos tras el análisis de su interacción con la radiación electromagnética: explicación de la posición de un elemento en la tabla periódica y de la similitud en las propiedades de los elementos químicos de cada grupo.,,,,,
SB,sb-fq1-a3,A.3,"Teorías sobre la estabilidad de los átomos e iones: predicción de la formación de enlaces entre los elementos, representación de estos y deducción de cuáles son las propiedades de las sustancias químicas. Comprobación a través de la observación y la experimentación. La investigación y desarrollo de nuevos materiales en el Principado de Asturias.",,,,,
SB,sb-fq1-a4,A.4,"Nomenclatura de sustancias simples, iones y compuestos químicos inorgánicos: composición y aplicaciones en la vida cotidiana.",,,,,
SB,sb-fq1-b1,B.1,Leyes fundamentales de la Química: relaciones estequiométricas en las reacciones químicas y en la composición de los compuestos. Resolución de cuestiones cuantitativas relacionadas con la Química en la vida cotidiana.,,,,,
SB,sb-fq1-b2,B.2,"Clasificación de las reacciones químicas: relaciones que existen entre la Química y aspectos importantes de la sociedad actual como, por ejemplo, la conservación del medioambiente o el desarrollo de fármacos, prestando especial atención a la industria asturiana.",,,,,
SB,sb-fq1-b3,B.3,"Cálculo de cantidades de materia en sistemas fisicoquímicos concretos, como gases ideales o disoluciones y sus propiedades (incluyendo las coligativas): variables mesurables propias del estado de los mismos en situaciones de la vida cotidiana.",,,,,
SB,sb-fq1-b4,B.4,"Estequiometria de las reacciones químicas: aplicaciones en los procesos industriales más significativos de la ingeniería química, prestando especial atención a las reacciones que se llevan a cabo en la industria química del Principado de Asturias.",,,,,
SB,sb-fq1-c1,C.1,Propiedades físicas y químicas generales de los compuestos orgánicos a partir de las estructuras químicas de sus grupos funcionales: generalidades en las diferentes series homólogas y aplicaciones en el mundo real.,,,,,
SB,sb-fq1-c2,C.2,"Reglas de la IUPAC para formular y nombrar correctamente algunos compuestos orgánicos mono y polifuncionales (hidrocarburos, compuestos oxigenados y compuestos nitrogenados).",,,,,
SB,sb-fq1-d1,D.1,"Variables cinemáticas en función del tiempo en los distintos movimientos que puede tener un objeto, con o sin fuerzas externas: resolución de situaciones reales relacionadas con la física y el entorno cotidiano.",,,,,
SB,sb-fq1-d2,D.2,Variables que influyen en un movimiento rectilíneo y circular: magnitudes y unidades empleadas. Movimientos cotidianos que presentan estos tipos de trayectoria.,,,,,
SB,sb-fq1-d3,D.3,Relación de la trayectoria de un movimiento compuesto con las magnitudes que lo describen.,,,,,
SB,sb-fq1-e1,E.1,"Predicción, a partir de la composición vectorial, del comportamiento estático o dinámico de una partícula o un sólido rígido bajo la acción de un par de fuerzas.",,,,,
SB,sb-fq1-e2,E.2,"Relación de la mecánica vectorial aplicada sobre una partícula con su estado de reposo o de movimiento: aplicaciones estáticas o dinámicas de la física en otros campos, como la ingeniería o el deporte.",,,,,
SB,sb-fq1-e3,E.3,"Interpretación de las leyes de la Dinámica en términos de magnitudes como el momento lineal y el impulso mecánico: aplicaciones en el mundo real (choques unidireccionales, retroceso de las armas de fuego y justificación del uso del cinturón de seguridad).",,,,,
SB,sb-fq1-f1,F.1,Conceptos de trabajo y potencia: elaboración de hipótesis sobre el consumo energético de sistemas mecánicos o eléctricos del entorno cotidiano y su rendimiento.,,,,,
SB,sb-fq1-f2,F.2,"Energía potencial y energía cinética de un sistema sencillo: aplicación a la conservación de la energía mecánica en sistemas conservativos y no conservativos (repercusión de los aspectos energéticos en las consecuencias de los accidentes de tráfico y el papel de los dispositivos de seguridad como las carrocerías deformables, los cascos, etc., para minimizar los daños a las personas) y al estudio de las causas que producen el movimiento de los objetos en el mundo real.",,,,,
SB,sb-fq1-f3,F.3,Variables termodinámicas de un sistema en función de las condiciones: determinación de las variaciones de temperatura que experimenta (incluyendo los cambios de estado) y las transferencias de energía que se producen con su entorno.,,,,,
BB,bb-fq1-a,A,Enlace químico y estructura de la materia,,,,,
BB,bb-fq1-b,B,Reacciones químicas,,,,,
BB,bb-fq1-c,C,Química orgánica,,,,,
BB,bb-fq1-d,D,Cinemática,,,,,
BB,bb-fq1-e,E,Estática y dinámica,,,,,
BB,bb-fq1-f,F,Energía,,,,,
